year,category,program_count,budget_amount_thousand_krw,budget_amount_trillion_krw
2007,기타 노인·고령화,52,266044578,0.266
2007,노인돌봄,2,23556100,0.024
2007,노인일자리,4,79324458,0.079
2007,장기요양·치매,4,42667842,0.043
2008,기초연금,1,1594767909,1.595
2008,기타 노인·고령화,53,268170732,0.268
2008,노인돌봄,2,450100,0.0
2008,노인일자리,4,89302411,0.089
2008,장기요양·치매,10,173115791,0.173
2009,기초연금,1,2469726000,2.47
2009,기타 노인·고령화,48,249867081,0.25
2009,노인돌봄,3,53141000,0.053
2009,노인일자리,4,125582097,0.126
2009,장기요양·치매,11,329431294,0.329
2010,기초연금,1,2723630988,2.724
2010,기타 노인·고령화,39,236009387,0.236
2010,노인돌봄,4,91113000,0.091
2010,노인일자리,4,153146867,0.153
2010,장기요양·치매,6,395114332,0.395
2011,기초연금,1,2825258000,2.825
2011,기타 노인·고령화,32,241026000,0.241
2011,노인돌봄,4,103530000,0.104
2011,노인일자리,3,166093000,0.166
2011,장기요양·치매,4,541825000,0.542
2012,기초연금,1,2966521000,2.967
2012,기타 노인·고령화,27,191277969,0.191
2012,노인돌봄,4,105853000,0.106
2012,노인일자리,3,185410000,0.185
2012,장기요양·치매,4,492571339,0.493
2013,기초연금,1,3209726000,3.21
2013,기타 노인·고령화,23,219331801,0.219
2013,노인돌봄,3,121407000,0.121
2013,노인일자리,2,238386000,0.238
2013,장기요양·치매,2,553880000,0.554
2014,기초연금,1,5200103000,5.2
2014,기타 노인·고령화,22,163121000,0.163
2014,노인돌봄,3,151829000,0.152
2014,노인일자리,2,305190000,0.305
2014,장기요양·치매,3,602531000,0.603
2015,기초연금,1,7582410000,7.582
2015,기타 노인·고령화,20,192081000,0.192
2015,노인돌봄,3,140330000,0.14
2015,노인일자리,1,344247000,0.344
2015,장기요양·치매,2,611323000,0.611
2016,기초연금,1,7869173000,7.869
2016,기타 노인·고령화,20,165230000,0.165
2016,노인돌봄,3,166001000,0.166
2016,노인일자리,1,390747000,0.391
2016,장기요양·치매,2,650122000,0.65
2017,기초연금,1,8096093000,8.096
2017,기타 노인·고령화,17,113774000,0.114
2017,노인돌봄,2,178221000,0.178
2017,노인일자리,1,466360000,0.466
2017,장기요양·치매,2,684273000,0.684
2018,기초연금,1,9122866000,9.123
2018,기타 노인·고령화,19,173357000,0.173
2018,노인돌봄,2,108742000,0.109
2018,노인일자리,1,634932000,0.635
2018,장기요양·치매,3,959508000,0.96
2019,기초연금,1,11495198000,11.495
2019,기타 노인·고령화,16,204828000,0.205
2019,노인돌봄,2,123391000,0.123
2019,노인일자리,1,822002000,0.822
2019,장기요양·치매,3,1283514000,1.284
2020,기초연금,1,13176531000,13.177
2020,기타 노인·고령화,18,184253000,0.184
2020,노인돌봄,3,389272000,0.389
2020,노인일자리,1,1201501000,1.202
2020,장기요양·치매,4,1644217000,1.644
2021,기초연금,1,14963468000,14.963
2021,기타 노인·고령화,20,175125000,0.175
2021,노인돌봄,2,439466000,0.439
2021,노인일자리,1,1315156000,1.315
2021,장기요양·치매,4,1931186000,1.931
2022,기초연금,1,16114031000,16.114
2022,기타 노인·고령화,18,189326000,0.189
2022,노인돌봄,2,461681000,0.462
2022,노인일자리,1,1442195000,1.442
2022,장기요양·치매,3,2265601000,2.266
2023,기초연금,1,18530432000,18.53
2023,기타 노인·고령화,20,282579000,0.283
2023,노인돌봄,2,530495000,0.53
2023,노인일자리,1,1540016000,1.54
2023,장기요양·치매,4,2461201000,2.461
2024,기초연금,1,20201456000,20.201
2024,기타 노인·고령화,22,221238000,0.221
2024,노인돌봄,2,575372000,0.575
2024,노인일자리,1,2026370000,2.026
2024,장기요양·치매,3,2722347000,2.722
2025,기초연금,1,21814577000,21.815
2025,기타 노인·고령화,18,217624000,0.218
2025,노인돌봄,3,570520000,0.571
2025,노인일자리,1,2184689000,2.185
2025,장기요양·치매,4,2736992000,2.737
2026,기초연금,1,23137815000,23.138
2026,기타 노인·고령화,22,224463000,0.224
2026,노인돌봄,3,622870000,0.623
2026,노인일자리,5,2385067000,2.385
2026,장기요양·치매,5,2804025000,2.804
