year,program_name,category,offices,budget_amount_thousand_krw,budget_amount_trillion_krw,budget_amount_100m_krw
2026,기초연금지급,기초연금,보건복지부,23137815000,23.138,231378.2
2026,노인장기요양보험 사업운영,장기요양·치매,보건복지부,2584914000,2.585,25849.1
2026,노인일자리 및 사회활동지원(자율),노인일자리,보건복지부,2099268000,2.099,20992.7
2026,노인맞춤돌봄서비스,노인돌봄,보건복지부,589381000,0.589,5893.8
2026,노인일자리 및 사회활동지원(지원),노인일자리,보건복지부,231017000,0.231,2310.2
2026,치매관리체계 구축,장기요양·치매,보건복지부,184928000,0.185,1849.3
2026,경로당 지원(자율),기타 노인·고령화,보건복지부,87594000,0.088,875.9
2026,고령자고용안정지원금,기타 노인·고령화,고용노동부,53560000,0.054,535.6
2026,노인일자리 및 사회활동지원(제주),노인일자리,보건복지부,43472000,0.043,434.7
2026,독거노인·중증장애인 응급안전안심서비스,노인돌봄,보건복지부,32937000,0.033,329.4
2026,치매극복연구개발사업(R&D),장기요양·치매,"과학기술정보통신부, 보건복지부",27733000,0.028,277.3
2026,노인요양시설 확충,기타 노인·고령화,보건복지부,24505000,0.025,245.0
2026,노인보호전문기관,기타 노인·고령화,보건복지부,13559000,0.014,135.6
2026,노인일자리 및 사회활동지원(세종),노인일자리,보건복지부,11310000,0.011,113.1
2026,장애인 노인 자립생활을 위한 보조기기 실용화 연구개발(R&D),기타 노인·고령화,보건복지부,10700000,0.011,107.0
2026,노인단체 지원(지원),기타 노인·고령화,보건복지부,9926000,0.01,99.3
2026,저출산고령사회위원회 사무처지원,기타 노인·고령화,보건복지부,9055000,0.009,90.6
2026,노인건강관리,기타 노인·고령화,보건복지부,7595000,0.008,76.0
2026,치매의료기술연구개발사업(R&D),장기요양·치매,"과학기술정보통신부, 보건복지부",3300000,0.003,33.0
2026,치매전주기 데이터수집 및 빅데이터 통합시스템 구축사업(R&D),장기요양·치매,보건복지부,3150000,0.003,31.5
2026,저출산고령사회정책개발 및 관리체계 구축,기타 노인·고령화,보건복지부,3032000,0.003,30.3
2026,에이지테크 기반 고령친화산업지원,기타 노인·고령화,보건복지부,1520000,0.002,15.2
2026,나노인프라공정서비스역량고도화(R&D),기타 노인·고령화,산업통상부,1500000,0.002,15.0
2026,경로당 지원(세종),기타 노인·고령화,보건복지부,698000,0.001,7.0
2026,경로당 지원(제주),기타 노인·고령화,보건복지부,593000,0.001,5.9
2026,고령독거유공자AI기반 안부확인 서비스,노인돌봄,국가보훈부,552000,0.001,5.5
2026,고령자고용촉진캠페인,기타 노인·고령화,고용노동부,323000,0.0,3.2
2026,노인정책관 기본경비(비총액),기타 노인·고령화,보건복지부,200000,0.0,2.0
2026,노인정책관 기본경비(총액),기타 노인·고령화,보건복지부,103000,0.0,1.0
2026,고령운수종사자자격유지검사지원,기타 노인·고령화,국토교통부,0,0.0,0.0
2026,고령자고용환경개선융자사업운영,기타 노인·고령화,고용노동부,0,0.0,0.0
2026,노인단체 지원,기타 노인·고령화,보건복지부,0,0.0,0.0
2026,노인일자리 및 사회활동지원,노인일자리,보건복지부,0,0.0,0.0
2026,장애인·노인 등 필요 의료기기 규제 수용성을 위한 인·허가 및 시험검사방법 개발(R&D),기타 노인·고령화,식품의약품안전처,0,0.0,0.0
2026,저출산·고령화 대응 공공체육시설 개편 지원,기타 노인·고령화,문화체육관광부,0,0.0,0.0
2026,저출산고령사회 대비 국민인식개선,기타 노인·고령화,보건복지부,0,0.0,0.0
