program_name,category,budget_amount_thousand_krw,offices,year,budget_amount_trillion_krw
기초연금지급,기초연금,23137815000,보건복지부,2026,23.138
노인장기요양보험 사업운영,장기요양·치매,2584914000,보건복지부,2026,2.585
노인일자리 및 사회활동지원(자율),노인일자리,2099268000,보건복지부,2026,2.099
노인맞춤돌봄서비스,노인돌봄,589381000,보건복지부,2026,0.589
노인일자리 및 사회활동지원(지원),노인일자리,231017000,보건복지부,2026,0.231
치매관리체계 구축,장기요양·치매,184928000,보건복지부,2026,0.185
경로당 지원(자율),기타 노인·고령화,87594000,보건복지부,2026,0.088
고령자고용안정지원금,기타 노인·고령화,53560000,고용노동부,2026,0.054
노인일자리 및 사회활동지원(제주),노인일자리,43472000,보건복지부,2026,0.043
독거노인·중증장애인 응급안전안심서비스,노인돌봄,32937000,보건복지부,2026,0.033
치매극복연구개발사업(R&D),장기요양·치매,27733000,"과학기술정보통신부, 보건복지부",2026,0.028
노인요양시설 확충,기타 노인·고령화,24505000,보건복지부,2026,0.025
노인보호전문기관,기타 노인·고령화,13559000,보건복지부,2026,0.014
노인일자리 및 사회활동지원(세종),노인일자리,11310000,보건복지부,2026,0.011
장애인 노인 자립생활을 위한 보조기기 실용화 연구개발(R&D),기타 노인·고령화,10700000,보건복지부,2026,0.011
