year,program_count,program_line_count,budget_amount_thousand_krw,budget_amount_trillion_krw,기초연금_trillion_krw,노인일자리_trillion_krw,장기요양·치매_trillion_krw,노인돌봄_trillion_krw,기타 노인·고령화_trillion_krw
2007,62,63,411592978,0.412,0.0,0.079,0.043,0.024,0.266
2008,70,70,2125806943,2.126,1.595,0.089,0.173,0.0,0.268
2009,67,67,3227747472,3.228,2.47,0.126,0.329,0.053,0.25
2010,54,54,3599014574,3.599,2.724,0.153,0.395,0.091,0.236
2011,44,44,3877732000,3.878,2.825,0.166,0.542,0.104,0.241
2012,39,40,3941633308,3.942,2.967,0.185,0.493,0.106,0.191
2013,31,31,4342730801,4.343,3.21,0.238,0.554,0.121,0.219
2014,31,31,6422774000,6.423,5.2,0.305,0.603,0.152,0.163
2015,27,27,8870391000,8.87,7.582,0.344,0.611,0.14,0.192
2016,27,27,9241273000,9.241,7.869,0.391,0.65,0.166,0.165
2017,23,23,9538721000,9.539,8.096,0.466,0.684,0.178,0.114
2018,26,26,10999405000,10.999,9.123,0.635,0.96,0.109,0.173
2019,23,24,13928933000,13.929,11.495,0.822,1.284,0.123,0.205
2020,27,29,16595774000,16.596,13.177,1.202,1.644,0.389,0.184
2021,28,30,18824401000,18.824,14.963,1.315,1.931,0.439,0.175
2022,25,28,20472834000,20.473,16.114,1.442,2.266,0.462,0.189
2023,28,33,23344723000,23.345,18.53,1.54,2.461,0.53,0.283
2024,29,30,25746783000,25.747,20.201,2.026,2.722,0.575,0.221
2025,27,28,27524402000,27.524,21.815,2.185,2.737,0.571,0.218
2026,36,38,29174240000,29.174,23.138,2.385,2.804,0.623,0.224
