region,patent_applications,youth_share_19_39,youth_population_19_39,total_population,patents_per_100k
경기도,63931,27.3,3802125.0,13914479.0,459.45665662365076
서울특별시,56400,31.0,2892335.0,9335444.0,604.1490902842971
대전광역시,11472,29.3,429802.0,1467093.0,781.9545182207262
경상북도,8179,22.3,575591.0,2578999.0,317.1385487159941
인천광역시,7365,26.9,822644.0,3058033.0,240.8410896808504
충청남도,7029,25.7,574436.0,2238243.0,314.0409687419999
경상남도,6360,22.3,729454.0,3264243.0,194.83843574145675
부산광역시,6337,24.6,802375.0,3257256.0,194.5502594822145
전라남도,4883,21.1,375501.0,1778338.0,274.5822222772049
대구광역시,4840,24.8,587067.0,2369335.0,204.27672743617933
전북특별자치도,4375,23.1,405418.0,1758836.0,248.7440557277654
충청북도,4046,26.0,428277.0,1646328.0,245.75904679990865
광주광역시,3324,27.1,391800.0,1444171.0,230.16664924029078
강원특별자치도,2861,22.9,349461.0,1522881.0,187.86760094846545
울산광역시,2402,24.5,271654.0,1106895.0,217.00341947519865
제주특별자치도,1026,24.0,161707.0,674817.0,152.04122006410626
세종특별자치시,953,27.0,105482.0,390156.0,244.26126985103397
