year,registered_population,census_population,projection_population,registered_population_million,census_population_million,projection_population_million,census_minus_registered,projection_minus_registered,census_minus_projection
2000,47732558,46136101.0,47008111,47.733,46.136,47.008,-1596457.0,-724447,-872010.0
2001,48021543,,47370164,48.022,,47.37,,-651379,
2002,48229948,,47644736,48.23,,47.645,,-585212,
2003,48386823,,47892330,48.387,,47.892,,-494493,
2004,48583805,,48082519,48.584,,48.083,,-501286,
2005,48782274,47278951.0,48184561,48.782,47.279,48.185,-1503323.0,-597713,-905610.0
2006,48991779,,48438292,48.992,,48.438,,-553487,
2007,49268928,,48683638,49.269,,48.684,,-585290,
2008,49540367,,49054708,49.54,,49.055,,-485659,
2009,49773145,,49307835,49.773,,49.308,,-465310,
2010,50515666,48580293.0,49554112,50.516,48.58,49.554,-1935373.0,-961554,-973819.0
2011,50734284,,49936638,50.734,,49.937,,-797646,
2012,50948272,,50199853,50.948,,50.2,,-748419,
2013,51141463,,50428893,51.141,,50.429,,-712570,
2014,51327916,,50746659,51.328,,50.747,,-581257,
2015,51529338,51069375.0,51014947,51.529,51.069,51.015,-459963.0,-514391,54428.0
2016,51696216,51269554.0,51217803,51.696,51.27,51.218,-426662.0,-478413,51751.0
2017,51778544,51422507.0,51361911,51.779,51.423,51.362,-356037.0,-416633,60596.0
2018,51826059,51629512.0,51585058,51.826,51.63,51.585,-196547.0,-241001,44454.0
2019,51849861,51779203.0,51764822,51.85,51.779,51.765,-70658.0,-85039,14381.0
2020,51829023,51829136.0,51836239,51.829,51.829,51.836,113.0,7216,-7103.0
2021,51638809,51738071.0,51769539,51.639,51.738,51.77,99262.0,130730,-31468.0
2022,51439038,51692272.0,51672569,51.439,51.692,51.673,253234.0,233531,19703.0
2023,51325329,51774521.0,51712619,51.325,51.775,51.713,449192.0,387290,61902.0
2024,51217221,51805547.0,51751065,51.217,51.806,51.751,588326.0,533844,54482.0
