year,census_minus_registered,projection_minus_registered,census_minus_projection,census_minus_registered_10k,projection_minus_registered_10k,census_minus_projection_10k
2000,-1596457.0,-724447,-872010.0,-159.6,-72.4,-87.2
2001,,-651379,,,-65.1,
2002,,-585212,,,-58.5,
2003,,-494493,,,-49.4,
2004,,-501286,,,-50.1,
2005,-1503323.0,-597713,-905610.0,-150.3,-59.8,-90.6
2006,,-553487,,,-55.3,
2007,,-585290,,,-58.5,
2008,,-485659,,,-48.6,
2009,,-465310,,,-46.5,
2010,-1935373.0,-961554,-973819.0,-193.5,-96.2,-97.4
2011,,-797646,,,-79.8,
2012,,-748419,,,-74.8,
2013,,-712570,,,-71.3,
2014,,-581257,,,-58.1,
2015,-459963.0,-514391,54428.0,-46.0,-51.4,5.4
2016,-426662.0,-478413,51751.0,-42.7,-47.8,5.2
2017,-356037.0,-416633,60596.0,-35.6,-41.7,6.1
2018,-196547.0,-241001,44454.0,-19.7,-24.1,4.4
2019,-70658.0,-85039,14381.0,-7.1,-8.5,1.4
2020,113.0,7216,-7103.0,0.0,0.7,-0.7
2021,99262.0,130730,-31468.0,9.9,13.1,-3.1
2022,253234.0,233531,19703.0,25.3,23.4,2.0
2023,449192.0,387290,61902.0,44.9,38.7,6.2
2024,588326.0,533844,54482.0,58.8,53.4,5.4
