year,age,male,female,male_negative
1980,0,450174,419795,-450174
1980,1,424596,396440,-424596
1980,2,405049,377879,-405049
1980,3,401960,374433,-401960
1980,4,405632,377769,-405632
1980,5,423049,395348,-423049
1980,6,447550,421315,-447550
1980,7,469773,417030,-469773
1980,8,485740,455407,-485740
1980,9,488323,454891,-488323
1980,10,485887,452265,-485887
1980,11,475643,445441,-475643
1980,12,455360,428014,-455360
1980,13,444313,414801,-444313
1980,14,444602,412296,-444602
1980,15,449756,417030,-449756
1980,16,461856,428725,-461856
1980,17,473856,439482,-473856
1980,18,479049,444414,-479049
1980,19,479460,446061,-479460
1980,20,471174,440200,-471174
1980,21,447978,423298,-447978
1980,22,413175,398968,-413175
1980,23,380866,378636,-380866
1980,24,364897,374215,-364897
1980,25,354265,356659,-354265
1980,26,337214,311891,-337214
1980,27,323203,288979,-323203
1980,28,299922,278826,-299922
1980,29,269773,252065,-269773
1980,30,266800,242267,-266800
1980,31,272965,250720,-272965
1980,32,272313,252281,-272313
1980,33,265375,240658,-265375
1980,34,242663,219172,-242663
1980,35,221343,205918,-221343
1980,36,220441,210836,-220441
1980,37,235722,226224,-235722
1980,38,248306,237179,-248306
1980,39,243034,230562,-243034
1980,40,233903,221114,-233903
1980,41,230111,219646,-230111
1980,42,222105,214079,-222105
1980,43,214388,207721,-214388
1980,44,210384,205119,-210384
1980,45,201535,197637,-201535
1980,46,186255,184371,-186255
1980,47,172683,177098,-172683
1980,48,158427,173434,-158427
1980,49,140767,163881,-140767
1980,50,131872,155979,-131872
1980,51,128422,151377,-128422
1980,52,121300,144278,-121300
1980,53,114780,136309,-114780
1980,54,110766,129843,-110766
1980,55,109704,126877,-109704
1980,56,111295,126164,-111295
1980,57,109291,122696,-109291
1980,58,102714,117289,-102714
1980,59,95201,109604,-95201
1980,60,86667,97977,-86667
1980,61,78932,89923,-78932
1980,62,75084,89491,-75084
1980,63,73052,90244,-73052
1980,64,68473,86033,-68473
1980,65,61439,78790,-61439
1980,66,55325,74118,-55325
1980,67,51721,72201,-51721
1980,68,49221,69605,-49221
1980,69,45748,65789,-45748
1980,70,41180,62537,-41180
1980,71,36575,58542,-36575
1980,72,31559,51847,-31559
1980,73,27782,46633,-27782
1980,74,25304,44036,-25304
1980,75,20525,38393,-20525
1980,76,15427,31715,-15427
1980,77,13447,28991,-13447
1980,78,13049,28428,-13049
1980,79,11398,26486,-11398
1990,0,349421,306938,-349421
1990,1,338569,300246,-338569
1990,2,331936,299461,-331936
1990,3,329466,301771,-329466
1990,4,337755,307640,-337755
1990,5,347780,319500,-347780
1990,6,372661,344558,-372661
1990,7,406071,378599,-406071
1990,8,429962,402322,-429962
