year,age_start,age_band,male,female,male_negative,total
1980,0,0-4세,2087411,1946316,-2087411,4033727
1980,5,5-9세,2314435,2143991,-2314435,4458426
1980,10,10-14세,2305805,2152817,-2305805,4458622
1980,15,15-19세,2343977,2175712,-2343977,4519689
1980,20,20-24세,2078090,2015317,-2078090,4093407
1980,25,25-29세,1584377,1488420,-1584377,3072797
1980,30,30-34세,1320116,1205098,-1320116,2525214
1980,35,35-39세,1168846,1110719,-1168846,2279565
1980,40,40-44세,1110891,1067679,-1110891,2178570
1980,45,45-49세,859667,896421,-859667,1756088
1980,50,50-54세,607140,717786,-607140,1324926
1980,55,55-59세,528205,602630,-528205,1130835
1980,60,60-64세,382208,453668,-382208,835876
1980,65,65-69세,263454,360503,-263454,623957
1980,70,70-74세,162400,263595,-162400,425995
1980,75,75-79세,73846,154013,-73846,227859
1980,80,80세 이상,44868,133354,-44868,178222
1990,0,0-4세,1687147,1516056,-1687147,3203203
1990,5,5-9세,1991341,1852140,-1991341,3843481
1990,10,10-14세,2029056,1897852,-2029056,3926908
1990,15,15-19세,2289382,2152632,-2289382,4442014
1990,20,20-24세,2237534,2104873,-2237534,4342407
1990,25,25-29세,2222615,2104134,-2222615,4326749
1990,30,30-34세,2123583,2011119,-2123583,4134702
1990,35,35-39세,1562784,1479545,-1562784,3042329
1990,40,40-44세,1268797,1208951,-1268797,2477748
1990,45,45-49세,1100340,1066369,-1100340,2166709
1990,50,50-54세,1001442,1020272,-1001442,2021714
1990,55,55-59세,739200,850304,-739200,1589504
1990,60,60-64세,493103,663628,-493103,1156731
1990,65,65-69세,375468,525383,-375468,900851
1990,70,70-74세,234292,364560,-234292,598852
1990,75,75-79세,132365,260764,-132365,393129
1990,80,80세 이상,79732,222520,-79732,302252
2020,0,0-4세,911251,865365,-911251,1776616
2020,5,5-9세,1168681,1109604,-1168681,2278285
2020,10,10-14세,1161061,1089908,-1161061,2250969
2020,15,15-19세,1307326,1210892,-1307326,2518218
2020,20,20-24세,1779560,1612791,-1779560,3392351
2020,25,25-29세,1949923,1695619,-1949923,3645542
2020,30,30-34세,1745712,1562091,-1745712,3307803
2020,35,35-39세,1999740,1867239,-1999740,3866979
2020,40,40-44세,1979773,1892398,-1979773,3872171
2020,45,45-49세,2225868,2159864,-2225868,4385732
2020,50,50-54세,2177535,2160734,-2177535,4338269
2020,55,55-59세,2121562,2115505,-2121562,4237067
2020,60,60-64세,1876783,1937587,-1876783,3814370
2020,65,65-69세,1280138,1382094,-1280138,2662232
2020,70,70-74세,928928,1061419,-928928,1990347
2020,75,75-79세,685809,922655,-685809,1608464
2020,80,80세 이상,626047,1264777,-626047,1890824
2025,0,0-4세,623974,595836,-623974,1219810
2025,5,5-9세,906030,860959,-906030,1766989
2025,10,10-14세,1164900,1106767,-1164900,2271667
2025,15,15-19세,1167856,1099151,-1167856,2267007
2025,20,20-24세,1390474,1269821,-1390474,2660295
2025,25,25-29세,1841645,1634824,-1841645,3476469
2025,30,30-34세,1969945,1700142,-1969945,3670087
2025,35,35-39세,1744455,1561026,-1744455,3305481
2025,40,40-44세,1986113,1865133,-1986113,3851246
2025,45,45-49세,1968894,1896876,-1968894,3865770
2025,50,50-54세,2207838,2159961,-2207838,4367799
2025,55,55-59세,2142637,2149934,-2142637,4292571
2025,60,60-64세,2062168,2093298,-2062168,4155466
2025,65,65-69세,1787365,1901240,-1787365,3688605
2025,70,70-74세,1185734,1341351,-1185734,2527085
2025,75,75-79세,816937,1003597,-816937,1820534
2025,80,80세 이상,870938,1606745,-870938,2477683
