year,school_level,monthly_private_education_10k_krw,private_education_participation_rate
2007,평 균,22.2,77.0
2007,초등학교,22.7,88.8
2007,중학교,23.4,74.6
2007,고등학교,19.7,55.0
2008,평 균,23.3,75.1
2008,초등학교,24.2,87.9
2008,중학교,24.1,72.5
2008,고등학교,20.6,53.4
2009,평 균,24.2,75.0
2009,초등학교,24.5,87.4
2009,중학교,26.0,74.3
2009,고등학교,21.7,53.8
2010,평 균,24.0,73.6
2010,초등학교,24.5,86.8
2010,중학교,25.5,72.2
2010,고등학교,21.8,52.8
2011,평 균,24.0,71.7
2011,초등학교,24.1,84.6
2011,중학교,26.2,71.0
2011,고등학교,21.8,51.6
2012,평 균,23.6,69.4
2012,초등학교,21.9,80.9
2012,중학교,27.6,70.6
2012,고등학교,22.4,50.7
2013,평 균,23.9,68.8
2013,초등학교,23.2,81.8
2013,중학교,26.7,69.5
2013,고등학교,22.3,49.2
2014,평 균,24.1678521655,68.5872039138
2014,초등학교,23.1959766374,81.1420241671
2014,중학교,27.0083779173,69.1128105525
2014,고등학교,22.9565694421,49.4725910482
2015,평 균,24.40888,68.79003
2015,초등학교,23.11165,80.72762
2015,중학교,27.52487,69.35106
2015,고등학교,23.61463,50.17105
2016,평 균,25.5839,67.76887
2016,초등학교,24.14357,79.96454
2016,중학교,27.50273,63.83336
2016,고등학교,26.18483,52.44116
2017,평 균,27.17529,71.17437
2017,초등학교,25.3377,82.65689
2017,중학교,29.13656,67.39793
2017,고등학교,28.49585,55.90796
2018,평 균,29.0776,72.83673
2018,초등학교,26.28773,82.52371
2018,중학교,31.21036,69.6297
2018,고등학교,32.14451,58.54687
2019,평 균,32.08894,74.76283
2019,초등학교,28.9981,83.45511
2019,중학교,33.83021,71.36769
2019,고등학교,36.50917,60.95417
2020,평 균,30.16282,67.08376
2020,초등학교,23.54456,69.72833
2020,중학교,34.16242,67.28831
2020,고등학교,39.5584,61.5556
2021,평 균,36.65776,75.51933
2021,초등학교,32.82985,82.04846
2021,중학교,39.16307,73.14842
2021,고등학교,41.92356,64.56098
2022,평 균,41.00083,78.28761
2022,초등학교,37.23815,85.20955
2022,중학교,43.77432,76.15213
2022,고등학교,45.97964,65.95943
2023,평 균,43.37723,78.50704
2023,초등학교,39.7546,86.0328
2023,중학교,44.92754,75.36958
2023,고등학교,49.14758,66.43317
2024,평 균,47.40938,80.0215
2024,초등학교,44.18007,87.7381
2024,중학교,48.98141,78.02453
2024,고등학교,51.98143,67.29764
2025,평 균,45.75167,75.74012
2025,초등학교,43.25457,84.43935
2025,중학교,46.09142,72.97783
2025,고등학교,49.90055,62.95133
