year,registered_population,projection_population,annual_change,annual_change_10k,annual_growth_pct,registered_population_million,projection_annual_change,projection_annual_change_10k,is_2010
2001,48021543,47370164,288985.0,28.9,0.605,48.022,362053.0,36.2,False
2002,48229948,47644736,208405.0,20.8,0.434,48.23,274572.0,27.5,False
2003,48386823,47892330,156875.0,15.7,0.325,48.387,247594.0,24.8,False
2004,48583805,48082519,196982.0,19.7,0.407,48.584,190189.0,19.0,False
2005,48782274,48184561,198469.0,19.8,0.409,48.782,102042.0,10.2,False
2006,48991779,48438292,209505.0,21.0,0.429,48.992,253731.0,25.4,False
2007,49268928,48683638,277149.0,27.7,0.566,49.269,245346.0,24.5,False
2008,49540367,49054708,271439.0,27.1,0.551,49.54,371070.0,37.1,False
2009,49773145,49307835,232778.0,23.3,0.47,49.773,253127.0,25.3,False
2010,50515666,49554112,742521.0,74.3,1.492,50.516,246277.0,24.6,True
2011,50734284,49936638,218618.0,21.9,0.433,50.734,382526.0,38.3,False
2012,50948272,50199853,213988.0,21.4,0.422,50.948,263215.0,26.3,False
2013,51141463,50428893,193191.0,19.3,0.379,51.141,229040.0,22.9,False
2014,51327916,50746659,186453.0,18.6,0.365,51.328,317766.0,31.8,False
2015,51529338,51014947,201422.0,20.1,0.392,51.529,268288.0,26.8,False
2016,51696216,51217803,166878.0,16.7,0.324,51.696,202856.0,20.3,False
2017,51778544,51361911,82328.0,8.2,0.159,51.779,144108.0,14.4,False
2018,51826059,51585058,47515.0,4.8,0.092,51.826,223147.0,22.3,False
2019,51849861,51764822,23802.0,2.4,0.046,51.85,179764.0,18.0,False
2020,51829023,51836239,-20838.0,-2.1,-0.04,51.829,71417.0,7.1,False
2021,51638809,51769539,-190214.0,-19.0,-0.367,51.639,-66700.0,-6.7,False
2022,51439038,51672569,-199771.0,-20.0,-0.387,51.439,-96970.0,-9.7,False
2023,51325329,51712619,-113709.0,-11.4,-0.221,51.325,40050.0,4.0,False
2024,51217221,51751065,-108108.0,-10.8,-0.211,51.217,38446.0,3.8,False
