year,population_100_plus,total_population,share_100_plus_per_100k,annual_change_100_plus
2008,2335,49540367,4.71,
2009,2599,49773145,5.22,264.0
2010,11130,50515666,22.03,8531.0
2011,11634,50734284,22.93,504.0
2012,12657,50948272,24.84,1023.0
2013,13793,51141463,26.97,1136.0
2014,15006,51327916,29.24,1213.0
2015,16209,51529338,31.46,1203.0
2016,17562,51696216,33.97,1353.0
2017,17850,51778544,34.47,288.0
2018,18783,51826059,36.24,933.0
2019,20160,51849861,38.88,1377.0
2020,21912,51829023,42.28,1752.0
2021,7961,51638809,15.42,-13951.0
2022,7733,51439038,15.03,-228.0
2023,8537,51325329,16.63,804.0
2024,8577,51217221,16.75,40.0
2025,8726,51117378,17.07,149.0
