year,sex_ratio,population_growth_rate
2000,101.4,0.84
2001,101.4,0.77
2002,101.4,0.58
2003,101.5,0.52
2004,101.4,0.4
2005,101.3,0.21
2006,101.3,0.53
2007,101.2,0.51
2008,101.2,0.76
2009,101.0,0.51
2010,100.8,0.5
2011,100.8,0.77
2012,100.7,0.53
2013,100.6,0.46
2014,100.6,0.63
2015,100.6,0.53
2016,100.5,0.4
2017,100.4,0.28
2018,100.5,0.43
2019,100.5,0.35
2020,100.1,0.14
2021,99.9,-0.13
2022,99.9,-0.19
2023,100.0,0.08
2024,100.0,0.07
2025,100.0,-0.13
2026,99.9,-0.15
2027,99.9,-0.14
2028,99.9,-0.15
2029,99.8,-0.15
2030,99.8,-0.15
2031,99.8,-0.16
2032,99.7,-0.17
2033,99.7,-0.19
2034,99.7,-0.2
2035,99.6,-0.22
2036,99.6,-0.24
2037,99.6,-0.27
2038,99.5,-0.3
2039,99.5,-0.34
2040,99.4,-0.38
2041,99.3,-0.42
2042,99.3,-0.45
2043,99.2,-0.49
2044,99.2,-0.53
2045,99.2,-0.58
2046,99.1,-0.62
2047,99.1,-0.67
2048,99.1,-0.72
2049,99.1,-0.77
2050,99.1,-0.82
2051,99.1,-0.87
2052,99.1,-0.92
