C1,region,year,age_band,net_migration
11,서울특별시,2000,0-14세,-16328
11,서울특별시,2000,15-19세,1263
11,서울특별시,2000,20-24세,17871
11,서울특별시,2000,25-29세,9071
11,서울특별시,2000,30-34세,-19054
11,서울특별시,2000,35-44세,-8520
11,서울특별시,2000,45-64세,-25317
11,서울특별시,2000,65세 이상,-5925
11,서울특별시,2001,0-14세,-28757
11,서울특별시,2001,15-19세,-1773
11,서울특별시,2001,20-24세,13372
11,서울특별시,2001,25-29세,-4555
11,서울특별시,2001,30-34세,-29223
11,서울특별시,2001,35-44세,-14758
11,서울특별시,2001,45-64세,-38759
11,서울특별시,2001,65세 이상,-9496
11,서울특별시,2002,0-14세,-19338
11,서울특별시,2002,15-19세,695
11,서울특별시,2002,20-24세,16796
11,서울특별시,2002,25-29세,-12502
11,서울특별시,2002,30-34세,-27130
11,서울특별시,2002,35-44세,-13973
11,서울특별시,2002,45-64세,-40785
11,서울특별시,2002,65세 이상,-10184
11,서울특별시,2003,0-14세,-14262
11,서울특별시,2003,15-19세,1204
11,서울특별시,2003,20-24세,15506
11,서울특별시,2003,25-29세,-517
11,서울특별시,2003,30-34세,-23421
11,서울특별시,2003,35-44세,-10831
11,서울특별시,2003,45-64세,-29600
11,서울특별시,2003,65세 이상,-7047
11,서울특별시,2004,0-14세,-5187
11,서울특별시,2004,15-19세,3344
11,서울특별시,2004,20-24세,16420
11,서울특별시,2004,25-29세,-3202
11,서울특별시,2004,30-34세,-20854
11,서울특별시,2004,35-44세,-10163
11,서울특별시,2004,45-64세,-22528
11,서울특별시,2004,65세 이상,-5034
11,서울특별시,2005,0-14세,-10995
11,서울특별시,2005,15-19세,3292
11,서울특별시,2005,20-24세,18074
11,서울특별시,2005,25-29세,-1235
11,서울특별시,2005,30-34세,-21588
11,서울특별시,2005,35-44세,-11272
11,서울특별시,2005,45-64세,-21535
11,서울특별시,2005,65세 이상,-5748
11,서울특별시,2006,0-14세,-9973
11,서울특별시,2006,15-19세,3455
11,서울특별시,2006,20-24세,20748
11,서울특별시,2006,25-29세,3636
11,서울특별시,2006,30-34세,-19578
11,서울특별시,2006,35-44세,-9823
11,서울특별시,2006,45-64세,-19307
11,서울특별시,2006,65세 이상,-5709
11,서울특별시,2007,0-14세,-13628
11,서울특별시,2007,15-19세,2410
11,서울특별시,2007,20-24세,19809
11,서울특별시,2007,25-29세,6817
11,서울특별시,2007,30-34세,-21438
11,서울특별시,2007,35-44세,-14552
11,서울특별시,2007,45-64세,-24111
11,서울특별시,2007,65세 이상,-8190
11,서울특별시,2008,0-14세,-11945
11,서울특별시,2008,15-19세,2574
11,서울특별시,2008,20-24세,16938
11,서울특별시,2008,25-29세,6649
11,서울특별시,2008,30-34세,-18805
11,서울특별시,2008,35-44세,-16153
11,서울특별시,2008,45-64세,-27509
11,서울특별시,2008,65세 이상,-9743
11,서울특별시,2009,0-14세,-12364
11,서울특별시,2009,15-19세,2658
11,서울특별시,2009,20-24세,16083
11,서울특별시,2009,25-29세,5927
11,서울특별시,2009,30-34세,-16780
11,서울특별시,2009,35-44세,-17372
11,서울특별시,2009,45-64세,-22824
11,서울특별시,2009,65세 이상,-7592
11,서울특별시,2010,0-14세,-23354
11,서울특별시,2010,15-19세,-26
11,서울특별시,2010,20-24세,12065
11,서울특별시,2010,25-29세,-84
11,서울특별시,2010,30-34세,-26699
11,서울특별시,2010,35-44세,-30840
11,서울특별시,2010,45-64세,-34297
11,서울특별시,2010,65세 이상,-11788
11,서울특별시,2011,0-14세,-21956
11,서울특별시,2011,15-19세,-677
11,서울특별시,2011,20-24세,12929
11,서울특별시,2011,25-29세,2678
11,서울특별시,2011,30-34세,-24099
11,서울특별시,2011,35-44세,-30519
11,서울특별시,2011,45-64세,-36905
11,서울특별시,2011,65세 이상,-14509
11,서울특별시,2012,0-14세,-22204
11,서울특별시,2012,15-19세,-45
11,서울특별시,2012,20-24세,16046
11,서울특별시,2012,25-29세,5761
11,서울특별시,2012,30-34세,-23104
11,서울특별시,2012,35-44세,-30027
11,서울특별시,2012,45-64세,-37058
11,서울특별시,2012,65세 이상,-13016
11,서울특별시,2013,0-14세,-21687
11,서울특별시,2013,15-19세,154
11,서울특별시,2013,20-24세,15632
11,서울특별시,2013,25-29세,5347
11,서울특별시,2013,30-34세,-23948
11,서울특별시,2013,35-44세,-28469
11,서울특별시,2013,45-64세,-34348
11,서울특별시,2013,65세 이상,-13231
11,서울특별시,2014,0-14세,-19423
11,서울특별시,2014,15-19세,2176
11,서울특별시,2014,20-24세,18336
11,서울특별시,2014,25-29세,7964
11,서울특별시,2014,30-34세,-21747
11,서울특별시,2014,35-44세,-27920
11,서울특별시,2014,45-64세,-33370
11,서울특별시,2014,65세 이상,-13847
11,서울특별시,2015,0-14세,-25522
11,서울특별시,2015,15-19세,836
11,서울특별시,2015,20-24세,14671
11,서울특별시,2015,25-29세,3119
11,서울특별시,2015,30-34세,-25500
11,서울특별시,2015,35-44세,-37132
11,서울특별시,2015,45-64세,-47461
11,서울특별시,2015,65세 이상,-20267
11,서울특별시,2016,0-14세,-27952
11,서울특별시,2016,15-19세,564
11,서울특별시,2016,20-24세,17580
11,서울특별시,2016,25-29세,4983
11,서울특별시,2016,30-34세,-23804
11,서울특별시,2016,35-44세,-38869
11,서울특별시,2016,45-64세,-51894
11,서울특별시,2016,65세 이상,-20865
11,서울특별시,2017,0-14세,-21326
11,서울특별시,2017,15-19세,2641
11,서울특별시,2017,20-24세,21174
11,서울특별시,2017,25-29세,10781
11,서울특별시,2017,30-34세,-16522
11,서울특별시,2017,35-44세,-31949
11,서울특별시,2017,45-64세,-43830
11,서울특별시,2017,65세 이상,-19455
11,서울특별시,2018,0-14세,-26252
11,서울특별시,2018,15-19세,2911
11,서울특별시,2018,20-24세,23981
11,서울특별시,2018,25-29세,15360
11,서울특별시,2018,30-34세,-17049
11,서울특별시,2018,35-44세,-40097
11,서울특별시,2018,45-64세,-47935
11,서울특별시,2018,65세 이상,-21149
11,서울특별시,2019,0-14세,-14148
11,서울특별시,2019,15-19세,4867
