C1,region,0-14세,15-19세,20-24세,25-29세,30-34세,35-44세,45-64세,65세 이상,avg_total_net_migration_recent,avg_total_net_migration_2016_2025,recent_start_year,latest_year,dominant_age_band,dominant_age_contribution,absolute_component_sum,dominant_abs_share_pct
11,서울특별시,-15178.8,4754.4,26103.2,13312.8,-14745.3,-27991.6,-38747.7,-18277.5,-70770.5,-70770.5,2016,2025,45-64세,-38747.7,159111.3,24.4
26,부산광역시,-454.6,117.6,530.1,-5526.5,-2705.4,-2268.3,-5823.5,-2267.9,-18398.5,-18398.5,2016,2025,45-64세,-5823.5,19693.9,29.6
27,대구광역시,1140.9,-812.8,-2496.6,-3914.2,-833.9,-272.2,-4481.0,-935.8,-12605.6,-12605.6,2016,2025,45-64세,-4481.0,14887.4,30.1
31,울산광역시,-977.5,-1096.6,-2535.7,-1075.6,-483.2,-964.5,-2304.7,-132.4,-9570.2,-9570.2,2016,2025,20-24세,-2535.7,9570.2,26.5
48,경상남도,-368.0,-2088.2,-8523.1,-3798.1,-242.1,293.1,4015.0,1589.1,-9122.3,-9122.3,2016,2025,20-24세,-8523.1,20916.7,40.7
30,대전광역시,-1236.4,-127.3,601.0,-758.8,-896.2,-1670.2,-3707.3,-431.6,-8226.8,-8226.8,2016,2025,45-64세,-3707.3,9428.8,39.3
29,광주광역시,533.9,-720.0,-1749.7,-1882.4,-710.8,-578.9,-2448.6,-80.7,-7637.2,-7637.2,2016,2025,45-64세,-2448.6,8705.0,28.1
52,전북특별자치도,-25.5,-738.4,-4216.0,-3340.4,-955.5,-76.1,1854.1,333.0,-7164.8,-7164.8,2016,2025,20-24세,-4216.0,11539.0,36.5
47,경상북도,-1830.2,-513.1,-5650.8,-3704.4,-1384.8,-629.6,5812.3,974.9,-6925.7,-6925.7,2016,2025,45-64세,5812.3,20500.1,28.4
46,전라남도,-748.9,-905.6,-5161.1,-2450.4,-310.2,720.2,4799.2,-154.2,-4211.0,-4211.0,2016,2025,20-24세,-5161.1,15249.8,33.8
51,강원특별자치도,230.0,-49.5,-2541.0,-2073.4,-47.9,806.4,4383.1,897.8,1605.5,1605.5,2016,2025,45-64세,4383.1,11029.1,39.7
50,제주특별자치도,1101.7,-292.7,-877.3,-99.8,662.4,1776.5,1752.0,132.0,4154.8,4154.8,2016,2025,35-44세,1776.5,6694.4,26.5
43,충청북도,80.0,-167.3,-1566.8,-143.4,283.6,861.7,4152.4,1000.9,4501.1,4501.1,2016,2025,45-64세,4152.4,8256.1,50.3
44,충청남도,669.5,-259.1,-2262.9,675.4,1011.4,2058.1,6779.1,1964.1,10635.6,10635.6,2016,2025,45-64세,6779.1,15679.6,43.2
28,인천광역시,1217.3,224.6,1147.9,929.0,1511.3,2748.6,1654.0,2256.6,11689.3,11689.3,2016,2025,35-44세,2748.6,11689.3,23.5
36,세종특별자치시,3338.8,509.1,644.4,1751.9,2338.2,3505.2,3321.5,726.1,16135.2,16135.2,2016,2025,35-44세,3505.2,16135.2,21.7
41,경기도,12507.8,2164.9,8554.4,12098.3,17508.4,21681.6,18990.1,12405.6,105911.1,105911.1,2016,2025,35-44세,21681.6,105911.1,20.5
