C1,region,age_band,avg_net_migration_recent,recent_start_year,latest_year
11,서울특별시,0-14세,-15178.8,2016,2025
11,서울특별시,15-19세,4754.4,2016,2025
11,서울특별시,20-24세,26103.2,2016,2025
11,서울특별시,25-29세,13312.8,2016,2025
11,서울특별시,30-34세,-14745.3,2016,2025
11,서울특별시,35-44세,-27991.6,2016,2025
11,서울특별시,45-64세,-38747.7,2016,2025
11,서울특별시,65세 이상,-18277.5,2016,2025
26,부산광역시,0-14세,-454.6,2016,2025
26,부산광역시,15-19세,117.6,2016,2025
26,부산광역시,20-24세,530.1,2016,2025
26,부산광역시,25-29세,-5526.5,2016,2025
26,부산광역시,30-34세,-2705.4,2016,2025
26,부산광역시,35-44세,-2268.3,2016,2025
26,부산광역시,45-64세,-5823.5,2016,2025
26,부산광역시,65세 이상,-2267.9,2016,2025
27,대구광역시,0-14세,1140.9,2016,2025
27,대구광역시,15-19세,-812.8,2016,2025
27,대구광역시,20-24세,-2496.6,2016,2025
27,대구광역시,25-29세,-3914.2,2016,2025
27,대구광역시,30-34세,-833.9,2016,2025
27,대구광역시,35-44세,-272.2,2016,2025
27,대구광역시,45-64세,-4481.0,2016,2025
27,대구광역시,65세 이상,-935.8,2016,2025
28,인천광역시,0-14세,1217.3,2016,2025
28,인천광역시,15-19세,224.6,2016,2025
28,인천광역시,20-24세,1147.9,2016,2025
28,인천광역시,25-29세,929.0,2016,2025
28,인천광역시,30-34세,1511.3,2016,2025
28,인천광역시,35-44세,2748.6,2016,2025
28,인천광역시,45-64세,1654.0,2016,2025
28,인천광역시,65세 이상,2256.6,2016,2025
29,광주광역시,0-14세,533.9,2016,2025
29,광주광역시,15-19세,-720.0,2016,2025
29,광주광역시,20-24세,-1749.7,2016,2025
29,광주광역시,25-29세,-1882.4,2016,2025
29,광주광역시,30-34세,-710.8,2016,2025
29,광주광역시,35-44세,-578.9,2016,2025
29,광주광역시,45-64세,-2448.6,2016,2025
29,광주광역시,65세 이상,-80.7,2016,2025
30,대전광역시,0-14세,-1236.4,2016,2025
30,대전광역시,15-19세,-127.3,2016,2025
30,대전광역시,20-24세,601.0,2016,2025
30,대전광역시,25-29세,-758.8,2016,2025
30,대전광역시,30-34세,-896.2,2016,2025
30,대전광역시,35-44세,-1670.2,2016,2025
30,대전광역시,45-64세,-3707.3,2016,2025
30,대전광역시,65세 이상,-431.6,2016,2025
31,울산광역시,0-14세,-977.5,2016,2025
31,울산광역시,15-19세,-1096.6,2016,2025
31,울산광역시,20-24세,-2535.7,2016,2025
31,울산광역시,25-29세,-1075.6,2016,2025
31,울산광역시,30-34세,-483.2,2016,2025
31,울산광역시,35-44세,-964.5,2016,2025
31,울산광역시,45-64세,-2304.7,2016,2025
31,울산광역시,65세 이상,-132.4,2016,2025
36,세종특별자치시,0-14세,3338.8,2016,2025
36,세종특별자치시,15-19세,509.1,2016,2025
36,세종특별자치시,20-24세,644.4,2016,2025
36,세종특별자치시,25-29세,1751.9,2016,2025
36,세종특별자치시,30-34세,2338.2,2016,2025
36,세종특별자치시,35-44세,3505.2,2016,2025
36,세종특별자치시,45-64세,3321.5,2016,2025
36,세종특별자치시,65세 이상,726.1,2016,2025
41,경기도,0-14세,12507.8,2016,2025
41,경기도,15-19세,2164.9,2016,2025
41,경기도,20-24세,8554.4,2016,2025
41,경기도,25-29세,12098.3,2016,2025
41,경기도,30-34세,17508.4,2016,2025
41,경기도,35-44세,21681.6,2016,2025
41,경기도,45-64세,18990.1,2016,2025
41,경기도,65세 이상,12405.6,2016,2025
43,충청북도,0-14세,80.0,2016,2025
43,충청북도,15-19세,-167.3,2016,2025
43,충청북도,20-24세,-1566.8,2016,2025
43,충청북도,25-29세,-143.4,2016,2025
43,충청북도,30-34세,283.6,2016,2025
43,충청북도,35-44세,861.7,2016,2025
43,충청북도,45-64세,4152.4,2016,2025
43,충청북도,65세 이상,1000.9,2016,2025
44,충청남도,0-14세,669.5,2016,2025
44,충청남도,15-19세,-259.1,2016,2025
44,충청남도,20-24세,-2262.9,2016,2025
44,충청남도,25-29세,675.4,2016,2025
44,충청남도,30-34세,1011.4,2016,2025
44,충청남도,35-44세,2058.1,2016,2025
44,충청남도,45-64세,6779.1,2016,2025
44,충청남도,65세 이상,1964.1,2016,2025
46,전라남도,0-14세,-748.9,2016,2025
46,전라남도,15-19세,-905.6,2016,2025
46,전라남도,20-24세,-5161.1,2016,2025
46,전라남도,25-29세,-2450.4,2016,2025
46,전라남도,30-34세,-310.2,2016,2025
46,전라남도,35-44세,720.2,2016,2025
46,전라남도,45-64세,4799.2,2016,2025
46,전라남도,65세 이상,-154.2,2016,2025
47,경상북도,0-14세,-1830.2,2016,2025
47,경상북도,15-19세,-513.1,2016,2025
47,경상북도,20-24세,-5650.8,2016,2025
47,경상북도,25-29세,-3704.4,2016,2025
47,경상북도,30-34세,-1384.8,2016,2025
47,경상북도,35-44세,-629.6,2016,2025
47,경상북도,45-64세,5812.3,2016,2025
47,경상북도,65세 이상,974.9,2016,2025
48,경상남도,0-14세,-368.0,2016,2025
48,경상남도,15-19세,-2088.2,2016,2025
48,경상남도,20-24세,-8523.1,2016,2025
48,경상남도,25-29세,-3798.1,2016,2025
48,경상남도,30-34세,-242.1,2016,2025
48,경상남도,35-44세,293.1,2016,2025
48,경상남도,45-64세,4015.0,2016,2025
48,경상남도,65세 이상,1589.1,2016,2025
50,제주특별자치도,0-14세,1101.7,2016,2025
