C1,region,avg_total_net_migration_recent,dominant_age_band,dominant_age_contribution,dominant_abs_share_pct,recent_start_year,latest_year,model,interpretation
11,서울특별시,-70770.5,45-64세,-38747.7,24.4,2016,2025,M_rt = sum_a m_rta,45-64세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
26,부산광역시,-18398.5,45-64세,-5823.5,29.6,2016,2025,M_rt = sum_a m_rta,45-64세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
27,대구광역시,-12605.6,45-64세,-4481.0,30.1,2016,2025,M_rt = sum_a m_rta,45-64세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
31,울산광역시,-9570.2,20-24세,-2535.7,26.5,2016,2025,M_rt = sum_a m_rta,20-24세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
48,경상남도,-9122.3,20-24세,-8523.1,40.7,2016,2025,M_rt = sum_a m_rta,20-24세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
30,대전광역시,-8226.8,45-64세,-3707.3,39.3,2016,2025,M_rt = sum_a m_rta,45-64세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
29,광주광역시,-7637.2,45-64세,-2448.6,28.1,2016,2025,M_rt = sum_a m_rta,45-64세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
52,전북특별자치도,-7164.8,20-24세,-4216.0,36.5,2016,2025,M_rt = sum_a m_rta,20-24세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
47,경상북도,-6925.7,45-64세,5812.3,28.4,2016,2025,M_rt = sum_a m_rta,45-64세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
46,전라남도,-4211.0,20-24세,-5161.1,33.8,2016,2025,M_rt = sum_a m_rta,20-24세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
51,강원특별자치도,1605.5,45-64세,4383.1,39.7,2016,2025,M_rt = sum_a m_rta,45-64세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
50,제주특별자치도,4154.8,35-44세,1776.5,26.5,2016,2025,M_rt = sum_a m_rta,35-44세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
43,충청북도,4501.1,45-64세,4152.4,50.3,2016,2025,M_rt = sum_a m_rta,45-64세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
44,충청남도,10635.6,45-64세,6779.1,43.2,2016,2025,M_rt = sum_a m_rta,45-64세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
28,인천광역시,11689.3,35-44세,2748.6,23.5,2016,2025,M_rt = sum_a m_rta,35-44세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
36,세종특별자치시,16135.2,35-44세,3505.2,21.7,2016,2025,M_rt = sum_a m_rta,35-44세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
41,경기도,105911.1,35-44세,21681.6,20.5,2016,2025,M_rt = sum_a m_rta,35-44세 순이동이 최근 10년 평균 총순이동을 가장 크게 설명
