year,C1,region,net_migration,avg_net_migration_recent,latest_net_migration,recent_start_year,latest_year,avg_net_migration_2016_2025,net_migration_2025
2000,11,서울특별시,-46939,-70770.5,-26769,2016,2025,-70770.5,-26769
2001,11,서울특별시,-113949,-70770.5,-26769,2016,2025,-70770.5,-26769
2002,11,서울특별시,-106421,-70770.5,-26769,2016,2025,-70770.5,-26769
2003,11,서울특별시,-68968,-70770.5,-26769,2016,2025,-70770.5,-26769
2004,11,서울특별시,-47204,-70770.5,-26769,2016,2025,-70770.5,-26769
2005,11,서울특별시,-51007,-70770.5,-26769,2016,2025,-70770.5,-26769
2006,11,서울특별시,-36551,-70770.5,-26769,2016,2025,-70770.5,-26769
2007,11,서울특별시,-52883,-70770.5,-26769,2016,2025,-70770.5,-26769
2008,11,서울특별시,-57994,-70770.5,-26769,2016,2025,-70770.5,-26769
2009,11,서울특별시,-52264,-70770.5,-26769,2016,2025,-70770.5,-26769
2010,11,서울특별시,-115023,-70770.5,-26769,2016,2025,-70770.5,-26769
2011,11,서울특별시,-113058,-70770.5,-26769,2016,2025,-70770.5,-26769
2012,11,서울특별시,-103647,-70770.5,-26769,2016,2025,-70770.5,-26769
2013,11,서울특별시,-100550,-70770.5,-26769,2016,2025,-70770.5,-26769
2014,11,서울특별시,-87831,-70770.5,-26769,2016,2025,-70770.5,-26769
2015,11,서울특별시,-137256,-70770.5,-26769,2016,2025,-70770.5,-26769
2016,11,서울특별시,-140257,-70770.5,-26769,2016,2025,-70770.5,-26769
2017,11,서울특별시,-98486,-70770.5,-26769,2016,2025,-70770.5,-26769
2018,11,서울특별시,-110230,-70770.5,-26769,2016,2025,-70770.5,-26769
2019,11,서울특별시,-49588,-70770.5,-26769,2016,2025,-70770.5,-26769
2020,11,서울특별시,-64850,-70770.5,-26769,2016,2025,-70770.5,-26769
2021,11,서울특별시,-106243,-70770.5,-26769,2016,2025,-70770.5,-26769
2022,11,서울특별시,-35340,-70770.5,-26769,2016,2025,-70770.5,-26769
2023,11,서울특별시,-31250,-70770.5,-26769,2016,2025,-70770.5,-26769
2024,11,서울특별시,-44692,-70770.5,-26769,2016,2025,-70770.5,-26769
2025,11,서울특별시,-26769,-70770.5,-26769,2016,2025,-70770.5,-26769
2000,26,부산광역시,-43694,-18398.5,-12181,2016,2025,-18398.5,-12181
2001,26,부산광역시,-41188,-18398.5,-12181,2016,2025,-18398.5,-12181
2002,26,부산광역시,-49442,-18398.5,-12181,2016,2025,-18398.5,-12181
2003,26,부산광역시,-42263,-18398.5,-12181,2016,2025,-18398.5,-12181
2004,26,부산광역시,-33229,-18398.5,-12181,2016,2025,-18398.5,-12181
2005,26,부산광역시,-36975,-18398.5,-12181,2016,2025,-18398.5,-12181
2006,26,부산광역시,-34686,-18398.5,-12181,2016,2025,-18398.5,-12181
2007,26,부산광역시,-36076,-18398.5,-12181,2016,2025,-18398.5,-12181
2008,26,부산광역시,-34604,-18398.5,-12181,2016,2025,-18398.5,-12181
2009,26,부산광역시,-29784,-18398.5,-12181,2016,2025,-18398.5,-12181
2010,26,부산광역시,-28466,-18398.5,-12181,2016,2025,-18398.5,-12181
2011,26,부산광역시,-24863,-18398.5,-12181,2016,2025,-18398.5,-12181
2012,26,부산광역시,-20610,-18398.5,-12181,2016,2025,-18398.5,-12181
2013,26,부산광역시,-17710,-18398.5,-12181,2016,2025,-18398.5,-12181
2014,26,부산광역시,-15092,-18398.5,-12181,2016,2025,-18398.5,-12181
2015,26,부산광역시,-13560,-18398.5,-12181,2016,2025,-18398.5,-12181
2016,26,부산광역시,-21392,-18398.5,-12181,2016,2025,-18398.5,-12181
2017,26,부산광역시,-28398,-18398.5,-12181,2016,2025,-18398.5,-12181
2018,26,부산광역시,-26759,-18398.5,-12181,2016,2025,-18398.5,-12181
2019,26,부산광역시,-23354,-18398.5,-12181,2016,2025,-18398.5,-12181
2020,26,부산광역시,-14347,-18398.5,-12181,2016,2025,-18398.5,-12181
2021,26,부산광역시,-18903,-18398.5,-12181,2016,2025,-18398.5,-12181
2022,26,부산광역시,-13562,-18398.5,-12181,2016,2025,-18398.5,-12181
2023,26,부산광역시,-11432,-18398.5,-12181,2016,2025,-18398.5,-12181
2024,26,부산광역시,-13657,-18398.5,-12181,2016,2025,-18398.5,-12181
2025,26,부산광역시,-12181,-18398.5,-12181,2016,2025,-18398.5,-12181
2000,27,대구광역시,-3352,-12605.6,-4272,2016,2025,-12605.6,-4272
2001,27,대구광역시,-14233,-12605.6,-4272,2016,2025,-12605.6,-4272
2002,27,대구광역시,-9641,-12605.6,-4272,2016,2025,-12605.6,-4272
2003,27,대구광역시,-3056,-12605.6,-4272,2016,2025,-12605.6,-4272
2004,27,대구광역시,-13327,-12605.6,-4272,2016,2025,-12605.6,-4272
2005,27,대구광역시,-24950,-12605.6,-4272,2016,2025,-12605.6,-4272
2006,27,대구광역시,-25659,-12605.6,-4272,2016,2025,-12605.6,-4272
2007,27,대구광역시,-16545,-12605.6,-4272,2016,2025,-12605.6,-4272
2008,27,대구광역시,-12738,-12605.6,-4272,2016,2025,-12605.6,-4272
2009,27,대구광역시,-12662,-12605.6,-4272,2016,2025,-12605.6,-4272
2010,27,대구광역시,-11840,-12605.6,-4272,2016,2025,-12605.6,-4272
2011,27,대구광역시,-12747,-12605.6,-4272,2016,2025,-12605.6,-4272
2012,27,대구광역시,-10564,-12605.6,-4272,2016,2025,-12605.6,-4272
2013,27,대구광역시,-11351,-12605.6,-4272,2016,2025,-12605.6,-4272
2014,27,대구광역시,-15526,-12605.6,-4272,2016,2025,-12605.6,-4272
2015,27,대구광역시,-12940,-12605.6,-4272,2016,2025,-12605.6,-4272
2016,27,대구광역시,-9260,-12605.6,-4272,2016,2025,-12605.6,-4272
2017,27,대구광역시,-11936,-12605.6,-4272,2016,2025,-12605.6,-4272
2018,27,대구광역시,-14242,-12605.6,-4272,2016,2025,-12605.6,-4272
2019,27,대구광역시,-23673,-12605.6,-4272,2016,2025,-12605.6,-4272
2020,27,대구광역시,-16835,-12605.6,-4272,2016,2025,-12605.6,-4272
2021,27,대구광역시,-24319,-12605.6,-4272,2016,2025,-12605.6,-4272
2022,27,대구광역시,-11519,-12605.6,-4272,2016,2025,-12605.6,-4272
2023,27,대구광역시,-5288,-12605.6,-4272,2016,2025,-12605.6,-4272
