year,C1,C1_NM,C1_NM_ENG,total_population,child_population,working_age_population,older_population,older_share,working_age_share,child_share
2008,11110,종로구,Jongno-gu,170705,22816,127968,19921,11.67,74.96,13.37
2009,11110,종로구,Jongno-gu,168603,21413,126645,20545,12.19,75.11,12.7
2010,11110,종로구,Jongno-gu,170578,20178,128089,22311,13.08,75.09,11.83
2011,11110,종로구,Jongno-gu,168382,19227,126355,22800,13.54,75.04,11.42
2012,11110,종로구,Jongno-gu,165207,18110,123367,23730,14.36,74.67,10.96
2013,11110,종로구,Jongno-gu,160070,16985,119232,23853,14.9,74.49,10.61
2014,11110,종로구,Jongno-gu,156993,15953,116664,24376,15.53,74.31,10.16
2015,11110,종로구,Jongno-gu,154986,15168,115066,24752,15.97,74.24,9.79
2016,11110,종로구,Jongno-gu,152737,14494,113293,24950,16.34,74.18,9.49
2017,11110,종로구,Jongno-gu,154770,14416,114324,26030,16.82,73.87,9.31
2018,11110,종로구,Jongno-gu,153065,13904,112589,26572,17.36,73.56,9.08
2019,11110,종로구,Jongno-gu,151290,13364,110608,27318,18.06,73.11,8.83
2020,11110,종로구,Jongno-gu,149384,12679,108394,28311,18.95,72.56,8.49
2021,11110,종로구,Jongno-gu,144683,11918,105156,27609,19.08,72.68,8.24
2022,11110,종로구,Jongno-gu,141379,11121,102554,27704,19.6,72.54,7.87
2023,11110,종로구,Jongno-gu,139417,10459,100458,28500,20.44,72.06,7.5
2024,11110,종로구,Jongno-gu,138336,9931,98831,29574,21.38,71.44,7.18
2008,11140,중구,Jung-gu,130362,16839,98396,15127,11.6,75.48,12.92
2009,11140,중구,Jung-gu,129465,15817,97888,15760,12.17,75.61,12.22
2010,11140,중구,Jung-gu,132822,15235,100272,17315,13.04,75.49,11.47
2011,11140,중구,Jung-gu,133193,14715,100550,17928,13.46,75.49,11.05
2012,11140,중구,Jung-gu,133360,14344,100326,18690,14.01,75.23,10.76
2013,11140,중구,Jung-gu,130465,13430,97883,19152,14.68,75.03,10.29
2014,11140,중구,Jung-gu,128065,12604,95721,19740,15.41,74.74,9.84
2015,11140,중구,Jung-gu,125733,11817,93835,20081,15.97,74.63,9.4
2016,11140,중구,Jung-gu,125249,11527,93334,20388,16.28,74.52,9.2
2017,11140,중구,Jung-gu,125709,11306,93255,21148,16.82,74.18,8.99
2018,11140,중구,Jung-gu,125725,10879,93096,21750,17.3,74.05,8.65
2019,11140,중구,Jung-gu,126171,10543,92654,22974,18.21,73.44,8.36
2020,11140,중구,Jung-gu,125240,9928,91138,24174,19.3,72.77,7.93
2021,11140,중구,Jung-gu,122499,9352,89110,24037,19.62,72.74,7.63
2022,11140,중구,Jung-gu,120437,8901,86876,24660,20.48,72.13,7.39
2023,11140,중구,Jung-gu,121312,8528,87259,25525,21.04,71.93,7.03
2024,11140,중구,Jung-gu,120544,8119,86017,26408,21.91,71.36,6.74
2008,11170,용산구,Yongsan-gu,238224,33041,178333,26850,11.27,74.86,13.87
2009,11170,용산구,Yongsan-gu,238708,31855,178965,27888,11.68,74.97,13.34
2010,11170,용산구,Yongsan-gu,244853,30685,183398,30770,12.57,74.9,12.53
2011,11170,용산구,Yongsan-gu,246501,30428,184450,31623,12.83,74.83,12.34
2012,11170,용산구,Yongsan-gu,243232,29337,181109,32786,13.48,74.46,12.06
2013,11170,용산구,Yongsan-gu,239740,28179,177786,33775,14.09,74.16,11.75
2014,11170,용산구,Yongsan-gu,235951,26599,174781,34571,14.65,74.08,11.27
2015,11170,용산구,Yongsan-gu,233342,25515,172475,35352,15.15,73.92,10.93
2016,11170,용산구,Yongsan-gu,230241,24369,170325,35547,15.44,73.98,10.58
2017,11170,용산구,Yongsan-gu,229161,23174,169499,36488,15.92,73.97,10.11
2018,11170,용산구,Yongsan-gu,228999,22238,169549,37212,16.25,74.04,9.71
2019,11170,용산구,Yongsan-gu,228670,21439,168885,38346,16.77,73.86,9.38
2020,11170,용산구,Yongsan-gu,230040,20688,169573,39779,17.29,73.71,8.99
2021,11170,용산구,Yongsan-gu,222953,19604,164797,38552,17.29,73.92,8.79
2022,11170,용산구,Yongsan-gu,218650,18677,161495,38478,17.6,73.86,8.54
2023,11170,용산구,Yongsan-gu,213151,17483,156429,39239,18.41,73.39,8.2
2024,11170,용산구,Yongsan-gu,203854,16404,148556,38894,19.08,72.87,8.05
2008,11200,성동구,Seongdong-gu,314212,47339,237591,29282,9.32,75.61,15.07
2009,11200,성동구,Seongdong-gu,308058,44436,233489,30133,9.78,75.79,14.42
2010,11200,성동구,Seongdong-gu,309093,42063,235041,31989,10.35,76.04,13.61
