C1,C1_NM,total_population,older_population,aging_rate
47730,의성군,48690,23118,47.48
27720,군위군,22463,10629,47.32
46770,고흥군,60190,27498,45.69
48890,합천군,40225,18205,45.26
47820,청도군,40582,17964,44.27
46780,보성군,37045,16247,43.86
47750,청송군,23716,10367,43.71
47920,봉화군,28836,12579,43.62
47770,영덕군,33210,14452,43.52
47760,영양군,15328,6601,43.06
48840,남해군,39832,17045,42.79
48860,산청군,33259,14142,42.52
48720,의령군,25150,10654,42.36
44770,서천군,48204,20288,42.09
52750,임실군,25577,10617,41.51
43760,괴산군,36252,15024,41.44
46860,함평군,30010,12410,41.35
48850,하동군,40765,16817,41.25
44760,부여군,59550,24506,41.15
43720,보은군,30527,12537,41.07
