old_code,current_code,current_name,current_name_eng,match_quality
11010,11110,종로구,Jongno-gu,exact_name
11020,11140,중구,Jung-gu,exact_name
11030,11170,용산구,Yongsan-gu,exact_name
11040,11200,성동구,Seongdong-gu,exact_name
11050,11215,광진구,Gwangjin-gu,exact_name
11060,11230,동대문구,Dongdaemun-gu,exact_name
11070,11260,중랑구,Jungnang-gu,exact_name
11080,11290,성북구,Seongbuk-gu,exact_name
11090,11305,강북구,Gangbuk-gu,exact_name
11100,11320,도봉구,Dobong-gu,exact_name
11110,11350,노원구,Nowon-gu,exact_name
11120,11380,은평구,Eunpyeong-gu,exact_name
11130,11410,서대문구,Seodaemun-gu,exact_name
11140,11440,마포구,Mapo-gu,exact_name
11150,11470,양천구,Yangcheon-gu,exact_name
11160,11500,강서구,Gangseo-gu,exact_name
11170,11530,구로구,Guro-gu,exact_name
11180,11545,금천구,Geumcheon-gu,exact_name
11190,11560,영등포구,Yeongdeungpo-gu,exact_name
11200,11590,동작구,Dongjak-gu,exact_name
11210,11620,관악구,Gwanak-gu,exact_name
11220,11650,서초구,Seocho-gu,exact_name
11230,11680,강남구,Gangnam-gu,exact_name
11240,11710,송파구,Songpa-gu,exact_name
21010,26110,중구,Jung-gu,exact_name
21020,26140,서구,Seo-gu,exact_name
21030,26170,동구,Dong-gu,exact_name
21040,26200,영도구,Yeongdo-gu,exact_name
21050,26230,부산진구,Busanjin-gu,exact_name
21060,26260,동래구,Dongnae-gu,exact_name
21070,26290,남구,Nam-gu,exact_name
21080,26320,북구,Buk-gu,exact_name
21090,26350,해운대구,Haeundae-gu,exact_name
21100,26380,사하구,Saha-gu,exact_name
21110,26410,금정구,Geumjeong-gu,exact_name
21120,26440,강서구,Gangseo-gu,exact_name
21130,26470,연제구,Yeonje-gu,exact_name
21140,26500,수영구,Suyeong-gu,exact_name
21150,26530,사상구,Sasang-gu,exact_name
21310,26710,기장군,Gijang-gun,exact_name
22010,27110,중구,Jung-gu,exact_name
22020,27140,동구,Dong-gu,exact_name
22030,27170,서구,Seo-gu,exact_name
22040,27200,남구,Nam-gu,exact_name
22050,27230,북구,Buk-gu,exact_name
22060,27260,수성구,Suseong-gu,exact_name
22070,27290,달서구,Dalseo-gu,exact_name
22310,27710,달성군,Dalseong-gun,exact_name
23010,28110,중구,Jung-gu,exact_name
23020,28140,동구,Dong-gu,exact_name
23040,28185,연수구,Yeonsu-gu,exact_name
23060,28237,부평구,Bupyeong-gu,exact_name
23070,28245,계양구,Gyeyang-gu,exact_name
23080,28260,서구,Seo-gu,exact_name
23310,28710,강화군,Ganghwa-gun,exact_name
23320,28720,옹진군,Ongjin-gun,exact_name
24010,29110,동구,Dong-gu,exact_name
24020,29140,서구,Seo-gu,exact_name
24030,29155,남구,Nam-gu,exact_name
24040,29170,북구,Buk-gu,exact_name
24050,29200,광산구,Gwangsan-gu,exact_name
25010,30110,동구,Dong-gu,exact_name
25020,30140,중구,Jung-gu,exact_name
25030,30170,서구,Seo-gu,exact_name
25040,30200,유성구,Yuseong-gu,exact_name
25050,30230,대덕구,Daedeok-gu,exact_name
26010,31110,중구,Jung-gu,exact_name
26020,31140,남구,Nam-gu,exact_name
26030,31170,동구,Dong-gu,exact_name
26040,31200,북구,Buk-gu,exact_name
26310,31710,울주군,Ulju-gun,exact_name
29010,36110,세종시,Sejong_si,exact_name
31011,41110,수원시,Suwon-si,aggregated_general_gu
31012,41110,수원시,Suwon-si,aggregated_general_gu
31013,41110,수원시,Suwon-si,aggregated_general_gu
31014,41110,수원시,Suwon-si,aggregated_general_gu
31021,41130,성남시,Seongnam-si,aggregated_general_gu
31022,41130,성남시,Seongnam-si,aggregated_general_gu
31023,41130,성남시,Seongnam-si,aggregated_general_gu
31030,41150,의정부시,Uijeongbu-si,exact_name
31041,41170,안양시,Anyang-si,aggregated_general_gu
31042,41170,안양시,Anyang-si,aggregated_general_gu
31050,41190,부천시,Bucheon-si,exact_name
31060,41210,광명시,Gwangmyeong-si,exact_name
31070,41220,평택시,Pyeongtaek-si,exact_name
31080,41250,동두천시,Dongducheon-si,exact_name
31091,41270,안산시,Ansan-si,aggregated_general_gu
31092,41270,안산시,Ansan-si,aggregated_general_gu
31101,41280,고양시,Goyang-si,aggregated_general_gu
31103,41280,고양시,Goyang-si,aggregated_general_gu
31104,41280,고양시,Goyang-si,aggregated_general_gu
31110,41290,과천시,Gwacheon-si,exact_name
31120,41310,구리시,Guri-si,exact_name
31130,41360,남양주시,Namyangju-si,exact_name
31140,41370,오산시,Osan-si,exact_name
31150,41390,시흥시,Siheung-si,exact_name
31160,41410,군포시,Gunpo-si,exact_name
31170,41430,의왕시,Uiwang-si,exact_name
31180,41450,하남시,Hanam-si,exact_name
31191,41460,용인시,Yongin-si,aggregated_general_gu
31192,41460,용인시,Yongin-si,aggregated_general_gu
31193,41460,용인시,Yongin-si,aggregated_general_gu
31200,41480,파주시,Paju-si,exact_name
31210,41500,이천시,Icheon-si,exact_name
31220,41550,안성시,Anseong-si,exact_name
31230,41570,김포시,Gimpo-si,exact_name
31240,41590,화성시,Hwaseong-si,exact_name
31260,41630,양주시,Yangju-si,exact_name
31270,41650,포천시,Pocheon-si,exact_name
31280,41670,여주시,Yeoju-si,exact_name
31350,41800,연천군,Yeoncheon-gun,exact_name
31370,41820,가평군,Gapyeong-gun,exact_name
31380,41830,양평군,Yangpyeong-gun,exact_name
33041,43110,청주시,Cheongju-si,aggregated_general_gu
33042,43110,청주시,Cheongju-si,aggregated_general_gu
33043,43110,청주시,Cheongju-si,aggregated_general_gu
33044,43110,청주시,Cheongju-si,aggregated_general_gu
33020,43130,충주시,Chungju-si,exact_name
33030,43150,제천시,Jecheon-si,exact_name
33320,43720,보은군,Boeun-gun,exact_name
33330,43730,옥천군,Okcheon-gun,exact_name
33340,43740,영동군,Yeongdong-gun,exact_name
33390,43745,증평군,Jeungpyeong-gun,exact_name
33350,43750,진천군,Jincheon-gun,exact_name
33360,43760,괴산군,Goesan-gun,exact_name
33370,43770,음성군,Eumseong-gun,exact_name
33380,43800,단양군,Danyang-gun,exact_name
34011,44130,천안시,Cheonan-si,aggregated_general_gu
34012,44130,천안시,Cheonan-si,aggregated_general_gu
34020,44150,공주시,Gongju-si,exact_name
34030,44180,보령시,Boryeong-si,exact_name
34040,44200,아산시,Asan-si,exact_name
34050,44210,서산시,Seosan-si,exact_name
34060,44230,논산시,Nonsan-si,exact_name
34080,44270,당진시,Dangjin-si,exact_name
34310,44710,금산군,Geumsan-gun,exact_name
34330,44760,부여군,Buyeo-gun,exact_name
34340,44770,서천군,Seocheon-gun,exact_name
34350,44790,청양군,Cheongyang-gun,exact_name
34360,44800,홍성군,Hongseong-gun,exact_name
34370,44810,예산군,Yesan-gun,exact_name
34380,44825,태안군,Taean-gun,exact_name
36010,46110,목포시,Mokpo-si,exact_name
36020,46130,여수시,Yeosu-si,exact_name
36030,46150,순천시,Suncheon-si,exact_name
36040,46170,나주시,Naju-si,exact_name
36060,46230,광양시,Gwangyang-si,exact_name
36310,46710,담양군,Damyang-gun,exact_name
36320,46720,곡성군,Gokseong-gun,exact_name
36330,46730,구례군,Gurye-gun,exact_name
36350,46770,고흥군,Goheung-gun,exact_name
36360,46780,보성군,Boseong-gun,exact_name
