C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class,topo_code,topo_name,match_note
종로구,Jongno-gu,17.0,2008.0,2024.0,19921.0,29574.0,9653.0,48.46,548.3,0.055,0.963,11110.0,older,65세 이상 고령층 인구,완만한 증가,11010,종로구,global_exact_name
중구,Jung-gu,17.0,2008.0,2024.0,15127.0,26408.0,11281.0,74.58,665.9,0.067,0.988,11140.0,older,65세 이상 고령층 인구,완만한 증가,11020,중구,province_exact_name
용산구,Yongsan-gu,17.0,2008.0,2024.0,26850.0,38894.0,12044.0,44.86,747.1,0.075,0.903,11170.0,older,65세 이상 고령층 인구,완만한 증가,11030,용산구,global_exact_name
성동구,Seongdong-gu,17.0,2008.0,2024.0,29282.0,51030.0,21748.0,74.27,1360.5,0.136,0.998,11200.0,older,65세 이상 고령층 인구,증가,11040,성동구,global_exact_name
광진구,Gwangjin-gu,17.0,2008.0,2024.0,28360.0,59334.0,30974.0,109.22,1863.4,0.186,0.994,11215.0,older,65세 이상 고령층 인구,증가,11050,광진구,global_exact_name
동대문구,Dongdaemun-gu,17.0,2008.0,2024.0,38272.0,69314.0,31042.0,81.11,1875.7,0.188,0.996,11230.0,older,65세 이상 고령층 인구,증가,11060,동대문구,global_exact_name
중랑구,Jungnang-gu,17.0,2008.0,2024.0,37032.0,83299.0,46267.0,124.94,2820.1,0.282,0.992,11260.0,older,65세 이상 고령층 인구,증가,11070,중랑구,global_exact_name
성북구,Seongbuk-gu,17.0,2008.0,2024.0,47059.0,83353.0,36294.0,77.12,2102.0,0.21,0.99,11290.0,older,65세 이상 고령층 인구,증가,11080,성북구,global_exact_name
강북구,Gangbuk-gu,17.0,2008.0,2024.0,36533.0,71227.0,34694.0,94.97,2109.2,0.211,0.998,11305.0,older,65세 이상 고령층 인구,증가,11090,강북구,global_exact_name
도봉구,Dobong-gu,17.0,2008.0,2024.0,34674.0,74149.0,39475.0,113.85,2438.8,0.244,0.991,11320.0,older,65세 이상 고령층 인구,증가,11100,도봉구,global_exact_name
