C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class
창원시(통합),Changwon-si,15,2010,2024,88196,192030,103834,117.73,7386.7,0.739,0.974,48120,older,65세 이상 고령층 인구,급격한 증가
용인시,Yongin-si,17,2008,2024,66083,175717,109634,165.9,6841.4,0.684,0.99,41460,older,65세 이상 고령층 인구,급격한 증가
고양시,Goyang-si,17,2008,2024,79565,184451,104886,131.82,6465.6,0.647,0.967,41280,older,65세 이상 고령층 인구,급격한 증가
청주시,Cheongju-si,17,2008,2024,48337,142688,94351,195.19,6164.4,0.616,0.975,43110,older,65세 이상 고령층 인구,급격한 증가
수원시,Suwon-si,17,2008,2024,69005,168322,99317,143.93,6082.0,0.608,0.978,41110,older,65세 이상 고령층 인구,급격한 증가
남양주시,Namyangju-si,17,2008,2024,44113,129635,85522,193.87,5277.1,0.528,0.981,41360,older,65세 이상 고령층 인구,급격한 증가
부천시,Bucheon-si,17,2008,2024,58350,144277,85927,147.26,5230.4,0.523,0.967,41190,older,65세 이상 고령층 인구,급격한 증가
성남시,Seongnam-si,17,2008,2024,74186,161299,87113,117.43,5204.9,0.52,0.99,41130,older,65세 이상 고령층 인구,급격한 증가
화성시,Hwaseong-si,17,2008,2024,34605,105701,71096,205.45,4323.4,0.432,0.932,41590,older,65세 이상 고령층 인구,증가
송파구,Songpa-gu,17,2008,2024,46699,113957,67258,144.02,4216.2,0.422,0.98,11710,older,65세 이상 고령층 인구,증가
포항시,Pohang-si,17,2008,2024,47404,110312,62908,132.71,3953.0,0.395,0.97,47110,older,65세 이상 고령층 인구,증가
강서구,Gangseo-gu,17,2008,2024,45460,107246,61786,135.91,3923.2,0.392,0.992,11500,older,65세 이상 고령층 인구,증가
전주시,Jeonju-si,17,2008,2024,57338,117495,60157,104.92,3756.2,0.376,0.99,52110,older,65세 이상 고령층 인구,증가
남동구,Namdong-gu,17,2008,2024,32077,91471,59394,185.16,3658.3,0.366,0.983,28200,older,65세 이상 고령층 인구,증가
달서구,Dalseo-gu,17,2008,2024,42516,100449,57933,136.26,3586.4,0.359,0.979,27290,older,65세 이상 고령층 인구,증가
서구,Seo-gu,17,2008,2024,24567,84811,60244,245.22,3549.7,0.355,0.951,28260,older,65세 이상 고령층 인구,증가
김포시,Gimpo-si,17,2008,2024,21090,76654,55564,263.46,3514.1,0.351,0.978,41570,older,65세 이상 고령층 인구,증가
덕양구,Deogyang-gu,17,2008,2024,35803,87776,51973,145.16,3289.2,0.329,0.976,41281,older,65세 이상 고령층 인구,증가
강동구,Gangdong-gu,17,2008,2024,33579,89687,56108,167.09,3267.4,0.327,0.968,11740,older,65세 이상 고령층 인구,증가
강남구,Gangnam-gu,17,2008,2024,38735,91291,52556,135.68,3174.2,0.317,0.994,11680,older,65세 이상 고령층 인구,증가
은평구,Eunpyeong-gu,17,2008,2024,45836,97788,51952,113.34,3108.8,0.311,0.996,11380,older,65세 이상 고령층 인구,증가
광주시,Gwangju-si,17,2008,2024,19767,69176,49409,249.96,3090.7,0.309,0.965,41610,older,65세 이상 고령층 인구,증가
천안시,Cheonan-si,17,2008,2024,40913,92478,51565,126.04,3084.1,0.308,0.96,44130,older,65세 이상 고령층 인구,증가
안양시,Anyang-si,17,2008,2024,44803,97448,52645,117.5,3060.0,0.306,0.959,41170,older,65세 이상 고령층 인구,증가
안산시,Ansan-si,17,2008,2024,41683,94262,52579,126.14,3050.7,0.305,0.943,41270,older,65세 이상 고령층 인구,증가
의정부시,Uijeongbu-si,17,2008,2024,37926,87072,49146,129.58,2999.2,0.3,0.976,41150,older,65세 이상 고령층 인구,증가
구로구,Guro-gu,17,2008,2024,34322,82027,47705,138.99,2980.7,0.298,0.996,11530,older,65세 이상 고령층 인구,증가
노원구,Nowon-gu,17,2008,2024,52820,100467,47647,90.21,2956.1,0.296,0.985,11350,older,65세 이상 고령층 인구,증가
부평구,Bupyeong-gu,17,2008,2024,43057,93125,50068,116.28,2954.6,0.295,0.973,28237,older,65세 이상 고령층 인구,증가
파주시,Paju-si,17,2008,2024,33940,83569,49629,146.23,2938.2,0.294,0.976,41480,older,65세 이상 고령층 인구,증가
기흥구,Giheung-gu,17,2008,2024,23617,70033,46416,196.54,2888.4,0.289,0.992,41463,older,65세 이상 고령층 인구,증가
김해시,Gimhae-si,17,2008,2024,32630,80326,47696,146.17,2865.4,0.287,0.962,48250,older,65세 이상 고령층 인구,증가
해운대구,Haeundae-gu,17,2008,2024,38023,83543,45520,119.72,2855.6,0.286,0.992,26350,older,65세 이상 고령층 인구,증가
중랑구,Jungnang-gu,17,2008,2024,37032,83299,46267,124.94,2820.1,0.282,0.992,11260,older,65세 이상 고령층 인구,증가
양천구,Yangcheon-gu,17,2008,2024,35375,80174,44799,126.64,2765.9,0.277,0.983,11470,older,65세 이상 고령층 인구,증가
양산시,Yangsan-si,17,2008,2024,19969,64107,44138,221.03,2764.3,0.276,0.974,48330,older,65세 이상 고령층 인구,증가
관악구,Gwanak-gu,17,2008,2024,44193,88138,43945,99.44,2693.1,0.269,0.998,11620,older,65세 이상 고령층 인구,증가
동구,Dong-gu,17,2008,2024,37938,80902,42964,113.25,2662.0,0.266,0.993,27140,older,65세 이상 고령층 인구,증가
평택시,Pyeongtaek-si,17,2008,2024,38541,82782,44241,114.79,2652.8,0.265,0.966,41220,older,65세 이상 고령층 인구,증가
제주시,Jeju-si,17,2008,2024,41950,85251,43301,103.22,2641.6,0.264,0.986,50110,older,65세 이상 고령층 인구,증가
사하구,Saha-gu,17,2008,2024,31282,72601,41319,132.09,2626.1,0.263,0.985,26380,older,65세 이상 고령층 인구,증가
북구,Buk-gu,17,2008,2024,36912,78162,41250,111.75,2590.9,0.259,0.976,27230,older,65세 이상 고령층 인구,증가
서구,Seo-gu,17,2008,2024,34043,75614,41571,122.11,2584.7,0.258,0.978,30170,older,65세 이상 고령층 인구,증가
북구,Buk-gu,17,2008,2024,37629,79388,41759,110.98,2558.0,0.256,0.985,29170,older,65세 이상 고령층 인구,증가
하남시,Hanam-si,17,2008,2024,12217,50742,38525,315.34,2548.6,0.255,0.941,41450,older,65세 이상 고령층 인구,증가
시흥시,Siheung-si,17,2008,2024,22835,65152,42317,185.32,2542.4,0.254,0.904,41390,older,65세 이상 고령층 인구,증가
세종특별자치시,sejong-si,13,2012,2024,17214,45301,28087,163.16,2444.8,0.244,0.994,36110,older,65세 이상 고령층 인구,증가
도봉구,Dobong-gu,17,2008,2024,34674,74149,39475,113.85,2438.8,0.244,0.991,11320,older,65세 이상 고령층 인구,증가
부산진구,Busanjin-gu,17,2008,2024,43228,82839,39611,91.63,2396.7,0.24,0.993,26230,older,65세 이상 고령층 인구,증가
분당구,Bundang-gu,17,2008,2024,33642,73855,40213,119.53,2353.6,0.235,0.99,41135,older,65세 이상 고령층 인구,증가
북구,Buk-gu,17,2008,2024,25143,62708,37565,149.41,2352.3,0.235,0.975,26320,older,65세 이상 고령층 인구,증가
수성구,Suseong-gu,17,2008,2024,41524,79184,37660,90.69,2279.1,0.228,0.988,27260,older,65세 이상 고령층 인구,증가
남구,Nam-gu,10,2008,2017,40263,60758,20495,50.9,2249.5,0.225,0.997,28170,older,65세 이상 고령층 인구,증가
서초구,Seocho-gu,17,2008,2024,30808,68606,37798,122.69,2237.3,0.224,0.994,11650,older,65세 이상 고령층 인구,증가
원주시,Wonju-si,17,2008,2024,32324,68912,36588,113.19,2166.4,0.217,0.94,51130,older,65세 이상 고령층 인구,증가
권선구,Gwonseon-gu,17,2008,2024,19422,54222,34800,179.18,2159.0,0.216,0.974,41113,older,65세 이상 고령층 인구,증가
동작구,Dongjak-gu,17,2008,2024,38002,72783,34781,91.52,2159.0,0.216,0.998,11590,older,65세 이상 고령층 인구,증가
수지구,Suji-gu,17,2008,2024,23521,57225,33704,143.29,2151.9,0.215,0.997,41465,older,65세 이상 고령층 인구,증가
북구,Buk-gu,17,2008,2024,25476,59655,34179,134.16,2135.2,0.214,0.968,47113,older,65세 이상 고령층 인구,증가
강북구,Gangbuk-gu,17,2008,2024,36533,71227,34694,94.97,2109.2,0.211,0.998,11305,older,65세 이상 고령층 인구,증가
진주시,Jinju-si,17,2008,2024,36250,70225,33975,93.72,2107.5,0.211,0.984,48170,older,65세 이상 고령층 인구,증가
성북구,Seongbuk-gu,17,2008,2024,47059,83353,36294,77.12,2102.0,0.21,0.99,11290,older,65세 이상 고령층 인구,증가
연수구,Yeonsu-gu,17,2008,2024,17589,52160,34571,196.55,2081.9,0.208,0.94,28185,older,65세 이상 고령층 인구,증가
동래구,Dongnae-gu,17,2008,2024,26931,60935,34004,126.26,2076.1,0.208,0.987,26260,older,65세 이상 고령층 인구,증가
남구,Nam-gu,17,2008,2024,18239,50834,32595,178.71,2010.1,0.201,0.975,31140,older,65세 이상 고령층 인구,증가
완산구,Wansan-gu,17,2008,2024,31921,64237,32316,101.24,2000.8,0.2,0.991,52111,older,65세 이상 고령층 인구,증가
양주시,Yangju-si,17,2008,2024,17244,50616,33372,193.53,1923.8,0.192,0.945,41630,older,65세 이상 고령층 인구,증가
금정구,Geumjeong-gu,17,2008,2024,26438,56243,29805,112.74,1919.0,0.192,0.996,26410,older,65세 이상 고령층 인구,증가
남구,Nam-gu,17,2008,2024,31092,61542,30450,97.94,1884.8,0.188,0.999,26290,older,65세 이상 고령층 인구,증가
동대문구,Dongdaemun-gu,17,2008,2024,38272,69314,31042,81.11,1875.7,0.188,0.996,11230,older,65세 이상 고령층 인구,증가
광진구,Gwangjin-gu,17,2008,2024,28360,59334,30974,109.22,1863.4,0.186,0.994,11215,older,65세 이상 고령층 인구,증가
영등포구,Yeongdeungpo-gu,17,2008,2024,37599,68568,30969,82.37,1849.9,0.185,0.994,11560,older,65세 이상 고령층 인구,증가
여수시,Yeosu-si,17,2008,2024,34637,63857,29220,84.36,1829.9,0.183,0.99,46130,older,65세 이상 고령층 인구,증가
남구,Nam-gu,17,2008,2024,21928,50657,28729,131.02,1817.8,0.182,0.972,47111,older,65세 이상 고령층 인구,증가
경산시,Gyeongsan-si,17,2008,2024,25892,55091,29199,112.77,1811.1,0.181,0.977,47290,older,65세 이상 고령층 인구,증가
처인구,Cheoin-gu,17,2008,2024,18945,48459,29514,155.79,1801.2,0.18,0.963,41461,older,65세 이상 고령층 인구,증가
계양구,Gyeyang-gu,17,2008,2024,20603,51136,30533,148.2,1793.6,0.179,0.949,28245,older,65세 이상 고령층 인구,증가
유성구,Yuseong-gu,17,2008,2024,15875,45571,29696,187.06,1789.9,0.179,0.964,30200,older,65세 이상 고령층 인구,증가
군산시,Gunsan-si,17,2008,2024,31425,59458,28033,89.21,1756.3,0.176,0.989,52130,older,65세 이상 고령층 인구,증가
사상구,Sasang-gu,17,2008,2024,20227,48490,28263,139.73,1756.2,0.176,0.982,26530,older,65세 이상 고령층 인구,증가
덕진구,Deokjin-gu,17,2008,2024,25417,53258,27841,109.54,1755.5,0.176,0.987,52113,older,65세 이상 고령층 인구,증가
경주시,Gyeongju-si,17,2008,2024,39288,67248,27960,71.17,1741.4,0.174,0.972,47130,older,65세 이상 고령층 인구,증가
구미시,Gumi-si,17,2008,2024,23561,52744,29183,123.86,1725.4,0.173,0.942,47190,older,65세 이상 고령층 인구,증가
익산시,Iksan-si,17,2008,2024,37501,64800,27299,72.8,1710.2,0.171,0.989,52140,older,65세 이상 고령층 인구,증가
춘천시,Chuncheon-si,17,2008,2024,32406,61370,28964,89.38,1706.8,0.171,0.961,51110,older,65세 이상 고령층 인구,증가
연제구,Yeonje-gu,17,2008,2024,21499,48982,27483,127.83,1705.2,0.171,0.986,26470,older,65세 이상 고령층 인구,증가
달성군,Dalseong-gun,17,2008,2024,16424,42982,26558,161.7,1695.4,0.17,0.953,27710,older,65세 이상 고령층 인구,증가
일산동구,Ilsandong-gu,17,2008,2024,20491,48717,28226,137.75,1689.9,0.169,0.959,41285,older,65세 이상 고령층 인구,증가
