year,municipality_count,total_population,top_10_share_pct,top_20_share_pct,top_50_share_pct,capital_area_share_pct,growth_hub_20_share_pct,gini,hhi,effective_region_count
2004,246,48531208,11.643,21.339,45.455,47.835,9.366,0.4297,65.172,153.44
2005,249,48730474,11.372,20.821,44.601,48.153,10.158,0.4252,63.697,156.99
2006,247,48940960,11.37,20.848,44.75,48.449,10.711,0.4257,64.152,155.88
2007,247,49218797,11.372,20.866,44.815,48.688,10.98,0.427,64.293,155.54
2008,248,49490091,11.376,20.8,44.605,48.87,11.95,0.4263,63.978,156.3
2009,248,49722719,11.359,20.932,44.692,49.031,12.224,0.4275,64.133,155.93
2010,250,50465143,11.335,20.855,44.257,49.257,12.487,0.4252,63.371,157.8
2011,250,50683663,11.28,20.778,44.212,49.303,12.787,0.4254,63.349,157.86
2012,250,50897609,11.256,20.757,44.201,49.379,13.35,0.4261,63.383,157.77
2013,250,51090924,11.25,20.75,44.193,49.437,13.689,0.4267,63.429,157.66
2014,251,51277113,11.297,20.739,43.989,49.464,14.093,0.4258,63.127,158.41
2015,251,51478645,11.401,20.779,43.961,49.478,14.596,0.4258,63.153,158.34
2016,249,51645664,12.034,21.527,44.666,49.55,15.117,0.4316,64.806,154.31
2017,249,51728304,12.059,21.543,44.685,49.644,15.681,0.4323,64.911,154.06
2018,249,51776344,12.135,21.64,44.863,49.825,16.315,0.4344,65.251,153.25
2019,249,51801123,12.256,21.785,45.104,50.049,16.827,0.4369,65.646,152.33
2020,249,51781548,12.272,21.829,45.37,50.285,17.315,0.4389,65.954,151.62
2021,249,51593036,12.395,21.977,45.513,50.44,17.771,0.4405,66.254,150.94
2022,249,51394082,12.521,22.139,45.655,50.561,18.07,0.4417,66.503,150.37
2023,249,51281134,12.666,22.283,45.788,50.729,18.355,0.443,66.783,149.74
2024,251,51173670,12.251,21.78,45.141,50.9,18.539,0.4396,65.659,152.3
