year,gini,hhi,effective_region_count,municipality_count,gini_index_2004_100,hhi_index_2004_100,effective_region_count_index_2004_100
2004,0.4297,65.172,153.44,246,100.0,100.0,100.0
2005,0.4252,63.697,156.99,249,98.95,97.74,102.31
2006,0.4257,64.152,155.88,247,99.07,98.43,101.59
2007,0.427,64.293,155.54,247,99.37,98.65,101.37
2008,0.4263,63.978,156.3,248,99.21,98.17,101.86
2009,0.4275,64.133,155.93,248,99.49,98.41,101.62
2010,0.4252,63.371,157.8,250,98.95,97.24,102.84
2011,0.4254,63.349,157.86,250,99.0,97.2,102.88
2012,0.4261,63.383,157.77,250,99.16,97.25,102.82
2013,0.4267,63.429,157.66,250,99.3,97.33,102.75
2014,0.4258,63.127,158.41,251,99.09,96.86,103.24
2015,0.4258,63.153,158.34,251,99.09,96.9,103.19
2016,0.4316,64.806,154.31,249,100.44,99.44,100.57
2017,0.4323,64.911,154.06,249,100.61,99.6,100.4
2018,0.4344,65.251,153.25,249,101.09,100.12,99.88
2019,0.4369,65.646,152.33,249,101.68,100.73,99.28
2020,0.4389,65.954,151.62,249,102.14,101.2,98.81
2021,0.4405,66.254,150.94,249,102.51,101.66,98.37
2022,0.4417,66.503,150.37,249,102.79,102.04,98.0
2023,0.443,66.783,149.74,249,103.1,102.47,97.59
2024,0.4396,65.659,152.3,251,102.3,100.75,99.26
