year,rank,C1,C1_NM,C1_NM_ENG,population
2004,1,41460,용인시,Yongin-si,640452
2004,2,11350,노원구,Nowon-gu,628184
2004,3,11710,송파구,Songpa-gu,604293
2004,4,27290,달서구,Dalseo-gu,601467
2004,5,28237,부평구,Bupyeong-gu,557144
2004,6,11500,강서구,Gangseo-gu,541671
2004,7,11680,강남구,Gangnam-gu,531517
2004,8,11620,관악구,Gwanak-gu,530156
2004,9,30170,서구,Seo-gu,508552
2004,10,48110,창원시,Changwon-si,507161
2004,11,44130,천안시,Cheonan-si,503082
2004,12,41283,일산구,Ilsan-gu,500216
2004,13,11470,양천구,Yangcheon-gu,495098
2004,14,11380,은평구,Eunpyeong-gu,478087
2004,15,11740,강동구,Gang-dong,471145
2004,16,27230,북구,Buk-gu,459741
2004,17,29170,북구,Buk-gu,458030
2004,18,11290,성북구,Seongbuk-gu,451122
2004,19,41195,원미구,Wonmi-gu,444837
2004,20,27260,수성구,Suseong-gu,443881
2004,21,41135,분당구,Bundang-gu,442891
2004,22,11260,중랑구,Jungnang-gu,433858
2004,23,28170,남구,Nam-gu,430889
2004,24,48250,김해시,Gimhae-si,427432
2004,25,48160,마산시,Masan-si,427248
2004,26,41360,남양주시,Namyangju-si,418360
2004,27,11530,구로구,Guro-gu,416828
2004,28,11590,동작구,Dongjak-gu,410945
2004,29,11560,영등포구,Yeongdeungpo-gu,406261
2004,30,26230,부산진구,Busanjin-gu,405534
2005,1,11350,노원구,Nowon-gu,622003
2005,2,11710,송파구,Songpa-gu,605840
2005,3,27290,달서구,Dalseo-gu,595860
2005,4,28237,부평구,Bupyeong-gu,567347
2005,5,11500,강서구,Gangseo-gu,553660
2005,6,11680,강남구,Gangnam-gu,540909
2005,7,11620,관악구,Gwanak-gu,530020
2005,8,44130,천안시,Cheonan-si,512482
2005,9,30170,서구,Seo-gu,509225
2005,10,48110,창원시,Changwon-si,504520
2005,11,11470,양천구,Yangcheon-gu,499755
2005,12,11380,은평구,Eunpyeong-gu,470751
2005,13,27230,북구,Buk-gu,464559
2005,14,11740,강동구,Gang-dong,464059
2005,15,11290,성북구,Seongbuk-gu,462879
2005,16,29170,북구,Buk-gu,454241
2005,17,41135,분당구,Bundang-gu,451519
2005,18,41360,남양주시,Namyangju-si,450054
2005,19,41195,원미구,Wonmi-gu,443365
2005,20,48250,김해시,Gimhae-si,443017
2005,21,27260,수성구,Suseong-gu,437356
2005,22,11260,중랑구,Jungnang-gu,427373
2005,23,48160,마산시,Masan-si,425018
2005,24,28170,남구,Nam-gu,420403
2005,25,11530,구로구,Guro-gu,416405
2005,26,26230,부산진구,Busanjin-gu,410610
2005,27,11590,동작구,Dongjak-gu,410481
2005,28,11560,영등포구,Yeongdeungpo-gu,408386
2005,29,26350,해운대구,Haeundae-gu,404599
2005,30,41150,의정부시,Uijeongbu-si,402410
2006,1,11350,노원구,Nowon-gu,618093
2006,2,11710,송파구,Songpa-gu,607005
2006,3,27290,달서구,Dalseo-gu,589041
2006,4,28237,부평구,Bupyeong-gu,570283
2006,5,11680,강남구,Gangnam-gu,556964
2006,6,11500,강서구,Gangseo-gu,554945
2006,7,11620,관악구,Gwanak-gu,535217
2006,8,44130,천안시,Cheonan-si,523323
2006,9,30170,서구,Seo-gu,505600
2006,10,48110,창원시,Changwon-si,503881
2006,11,11470,양천구,Yangcheon-gu,501717
2006,12,11290,성북구,Seongbuk-gu,472843
2006,13,41360,남양주시,Namyangju-si,470617
2006,14,27230,북구,Buk-gu,468030
2006,15,11380,은평구,Eunpyeong-gu,464580
2006,16,11740,강동구,Gang-dong,461760
2006,17,29170,북구,Buk-gu,460985
2006,18,48250,김해시,Gimhae-si,453728
2006,19,41195,원미구,Wonmi-gu,443964
2006,20,41135,분당구,Bundang-gu,440433
2006,21,27260,수성구,Suseong-gu,440172
2006,22,11260,중랑구,Jungnang-gu,426078
2006,23,48160,마산시,Masan-si,421783
2006,24,11530,구로구,Guro-gu,419832
2006,25,26350,해운대구,Haeundae-gu,418875
2006,26,28170,남구,Nam-gu,416672
2006,27,41150,의정부시,Uijeongbu-si,410938
2006,28,11560,영등포구,Yeongdeungpo-gu,408698
2006,29,11590,동작구,Dongjak-gu,408582
2006,30,11650,서초구,Seocho-gu,408266
2007,1,11710,송파구,Songpa-gu,623876
2007,2,11350,노원구,Nowon-gu,616753
2007,3,27290,달서구,Dalseo-gu,591169
2007,4,28237,부평구,Bupyeong-gu,568905
2007,5,11680,강남구,Gangnam-gu,560958
2007,6,11500,강서구,Gangseo-gu,560424
2007,7,11620,관악구,Gwanak-gu,535571
2007,8,44130,천안시,Cheonan-si,531956
2007,9,48110,창원시,Changwon-si,503930
2007,10,11470,양천구,Yangcheon-gu,503650
2007,11,30170,서구,Seo-gu,501935
2007,12,41360,남양주시,Namyangju-si,492347
2007,13,11290,성북구,Seongbuk-gu,469973
2007,14,29170,북구,Buk-gu,466181
2007,15,48250,김해시,Gimhae-si,464964
2007,16,11740,강동구,Gang-dong,464546
2007,17,27230,북구,Buk-gu,463056
2007,18,11380,은평구,Eunpyeong-gu,459196
2007,19,27260,수성구,Suseong-gu,447164
2007,20,41195,원미구,Wonmi-gu,443290
2007,21,41135,분당구,Bundang-gu,434115
2007,22,11260,중랑구,Jungnang-gu,427071
2007,23,28200,남동구,Nam-dong,425217
2007,24,26350,해운대구,Haeundae-gu,423816
2007,25,41150,의정부시,Uijeongbu-si,421853
2007,26,11530,구로구,Guro-gu,420542
2007,27,48160,마산시,Masan-si,415805
2007,28,28170,남구,Nam-gu,412379
2007,29,11560,영등포구,Yeongdeungpo-gu,408178
2007,30,11650,서초구,Seocho-gu,405969
2008,1,11710,송파구,Songpa-gu,668962
2008,2,11350,노원구,Nowon-gu,615981
2008,3,27290,달서구,Dalseo-gu,594616
2008,4,11500,강서구,Gangseo-gu,576848
2008,5,28237,부평구,Bupyeong-gu,569246
2008,6,11680,강남구,Gangnam-gu,557832
2008,7,11620,관악구,Gwanak-gu,534556
2008,8,41360,남양주시,Namyangju-si,505867
2008,9,48110,창원시,Changwon-si,503518
2008,10,11470,양천구,Yangcheon-gu,502343
2008,11,30170,서구,Seo-gu,499172
2008,12,48250,김해시,Gimhae-si,477572
2008,13,29170,북구,Buk-gu,474121
2008,14,11290,성북구,Seongbuk-gu,473357
2008,15,11740,강동구,Gang-dong,469024
2008,16,27230,북구,Buk-gu,461518
2008,17,11380,은평구,Eunpyeong-gu,458401
2008,18,27260,수성구,Suseong-gu,451732
2008,19,28200,남동구,Nam-dong,450054
2008,20,41590,화성시,Hwaseong-si,449354
2008,21,41195,원미구,Wonmi-gu,441795
2008,22,41150,의정부시,Uijeongbu-si,430849
2008,23,41135,분당구,Bundang-gu,428858
2008,24,11260,중랑구,Jungnang-gu,427871
2008,25,26350,해운대구,Haeundae-gu,424455
2008,26,11530,구로구,Guro-gu,420795
2008,27,28170,남구,Nam-gu,420741
