C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,trend_class
화성시,Hwaseong-si,21,2004,2024,271563,968821,697258,256.76,35194.3,3.519,0.976,41590,급격한 증가
세종시,Sejong_si,13,2012,2024,113117,390685,277568,245.38,25638.5,2.564,0.938,36110,급격한 증가
용인시,Yongin-si,21,2004,2024,640452,1085864,445412,69.55,20894.2,2.089,0.94,41460,급격한 증가
김포시,Gimpo-si,21,2004,2024,208192,486853,278661,133.85,17383.0,1.738,0.964,41570,급격한 증가
남양주시,Namyangju-si,21,2004,2024,418360,732482,314122,75.08,16265.7,1.627,0.966,41360,급격한 증가
청주시,Cheongju-si,21,2004,2024,624288,854537,230249,36.88,14996.1,1.5,0.842,43110,급격한 증가
서구,Seo-gu,21,2004,2024,362269,634064,271795,75.03,13159.3,1.316,0.969,28260,급격한 증가
파주시,Paju-si,21,2004,2024,246323,511308,264985,107.58,12842.5,1.284,0.974,41480,급격한 증가
하남시,Hanam-si,21,2004,2024,129903,329120,199217,153.36,11575.9,1.158,0.862,41450,급격한 증가
평택시,Pyeongtaek-si,21,2004,2024,370653,598556,227903,61.49,11153.3,1.115,0.951,41220,급격한 증가
광주시,Gwangju-si,21,2004,2024,205641,397605,191964,93.35,10850.4,1.085,0.981,41610,급격한 증가
고양시,Goyang-si,21,2004,2024,886000,1070120,184120,20.78,10475.4,1.048,0.962,41280,급격한 증가
기흥구,Giheung-gu,20,2005,2024,224770,436351,211581,94.13,9667.8,0.967,0.85,41463,급격한 증가
수원시,Suwon-si,21,2004,2024,1033829,1193005,159176,15.4,9201.1,0.92,0.852,41110,급격한 증가
천안시,Cheonan-si,21,2004,2024,503082,659920,156838,31.18,8732.1,0.873,0.97,44130,급격한 증가
제주시,Jeju-si,21,2004,2024,296068,488348,192280,64.94,8309.1,0.831,0.81,50110,급격한 증가
양산시,Yangsan-si,21,2004,2024,213695,359531,145836,68.24,8278.1,0.828,0.966,48330,급격한 증가
유성구,Yuseong-gu,21,2004,2024,203478,369468,165990,81.58,7889.1,0.789,0.927,30200,급격한 증가
연수구,Yeonsu-gu,21,2004,2024,255998,400213,144215,56.33,7839.4,0.784,0.955,28185,급격한 증가
영통구,Yondtong-gu,21,2004,2024,242136,361305,119169,49.22,7569.5,0.757,0.913,41117,급격한 증가
서북구,seobuk-gu,17,2008,2024,302428,398748,96320,31.85,7465.7,0.747,0.944,44133,급격한 증가
시흥시,Siheung-si,21,2004,2024,378613,518132,139519,36.85,7387.4,0.739,0.788,41390,급격한 증가
아산시,Asan-si,21,2004,2024,200938,355014,154076,76.68,7293.8,0.729,0.959,44200,급격한 증가
덕양구,Deogyang-gu,21,2004,2024,385784,493097,107313,27.82,6617.4,0.662,0.937,41281,급격한 증가
달성군,Dalseong-gun,21,2004,2024,155905,257580,101675,65.22,6476.7,0.648,0.914,27710,급격한 증가
남동구,Nam-dong,21,2004,2024,384244,486225,101981,26.54,6329.8,0.633,0.585,28200,급격한 증가
기장군,Gijang-gun,21,2004,2024,79788,175626,95838,120.12,6205.9,0.621,0.941,26710,급격한 증가
오산시,Osan-si,21,2004,2024,121326,242065,120739,99.52,5818.5,0.582,0.912,41370,급격한 증가
수지구,Suji-gu,20,2005,2024,272060,375351,103291,37.97,5734.2,0.573,0.963,41465,급격한 증가
강서구,Gangseo-gu,21,2004,2024,54711,142789,88078,160.99,5723.6,0.572,0.926,26440,급격한 증가
광산구,Gwangsan-gu,21,2004,2024,296101,391611,95510,32.26,5465.3,0.547,0.753,29200,급격한 증가
