C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class
화성시,Hwaseong-si,17,2008,2024,449354,968821,519467,115.6,35076.7,3.508,0.957,41590,total,전체 인구,급격한 증가
세종특별자치시,sejong-si,13,2012,2024,113117,390685,277568,245.38,25638.5,2.564,0.938,36110,total,전체 인구,급격한 증가
김포시,Gimpo-si,17,2008,2024,220418,486853,266435,120.88,19377.2,1.938,0.975,41570,total,전체 인구,급격한 증가
용인시,Yongin-si,17,2008,2024,816763,1085864,269101,32.95,17325.9,1.733,0.958,41460,total,전체 인구,급격한 증가
청주시,Cheongju-si,17,2008,2024,638663,854537,215874,33.8,15963.6,1.596,0.77,43110,total,전체 인구,급격한 증가
하남시,Hanam-si,17,2008,2024,143638,329120,185482,129.13,14491.4,1.449,0.906,41450,total,전체 인구,급격한 증가
남양주시,Namyangju-si,17,2008,2024,505867,732482,226615,44.8,14428.6,1.443,0.955,41360,total,전체 인구,급격한 증가
서구,Seo-gu,17,2008,2024,393346,634064,240718,61.2,14100.5,1.41,0.959,28260,total,전체 인구,급격한 증가
평택시,Pyeongtaek-si,17,2008,2024,406721,598556,191835,47.17,12698.9,1.27,0.959,41220,total,전체 인구,급격한 증가
파주시,Paju-si,17,2008,2024,311164,511308,200144,64.32,11575.7,1.158,0.968,41480,total,전체 인구,급격한 증가
광주시,Gwangju-si,17,2008,2024,234777,397605,162828,69.35,11468.7,1.147,0.975,41610,total,전체 인구,급격한 증가
고양시,Goyang-si,17,2008,2024,938831,1070120,131289,13.98,10066.9,1.007,0.929,41280,total,전체 인구,급격한 증가
시흥시,Siheung-si,17,2008,2024,392756,518132,125376,31.92,9388.8,0.939,0.821,41390,total,전체 인구,급격한 증가
연수구,Yeonsu-gu,17,2008,2024,268668,400213,131545,48.96,9099.2,0.91,0.977,28185,total,전체 인구,급격한 증가
수원시,Suwon-si,17,2008,2024,1067425,1193005,125580,11.76,8588.7,0.859,0.734,41110,total,전체 인구,급격한 증가
천안시,Cheonan-si,17,2008,2024,537698,659920,122222,22.73,8408.2,0.841,0.943,44130,total,전체 인구,급격한 증가
양산시,Yangsan-si,17,2008,2024,243012,359531,116519,47.95,8232.0,0.823,0.938,48330,total,전체 인구,급격한 증가
영통구,Yeongtong-gu,17,2008,2024,260210,361305,101095,38.85,7804.1,0.78,0.859,41117,total,전체 인구,급격한 증가
덕양구,Deogyang-gu,17,2008,2024,386817,493097,106280,27.48,7796.5,0.78,0.973,41281,total,전체 인구,급격한 증가
서북구,Sebuk-gu,17,2008,2024,302428,398748,96320,31.85,7465.7,0.747,0.944,44133,total,전체 인구,급격한 증가
기흥구,Giheung-gu,17,2008,2024,315461,436351,120890,38.32,7209.2,0.721,0.872,41463,total,전체 인구,급격한 증가
달성군,Dalseong-gun,17,2008,2024,171001,257580,86579,50.63,7129.2,0.713,0.89,27710,total,전체 인구,급격한 증가
강서구,Gangseo-gu,17,2008,2024,52156,142789,90633,173.77,6742.6,0.674,0.951,26440,total,전체 인구,급격한 증가
유성구,Yuseong-gu,17,2008,2024,259831,369468,109637,42.2,6502.1,0.65,0.904,30200,total,전체 인구,급격한 증가
기장군,Gijang-gun,17,2008,2024,81159,175626,94467,116.4,6294.1,0.629,0.906,26710,total,전체 인구,급격한 증가
제주시,Jeju-si,17,2008,2024,407498,488348,80850,19.84,6177.4,0.618,0.916,50110,total,전체 인구,급격한 증가
아산시,Asan-si,17,2008,2024,240942,355014,114072,47.34,6079.3,0.608,0.972,44200,total,전체 인구,급격한 증가
수지구,Suji-gu,17,2008,2024,297497,375351,77854,26.17,5426.7,0.543,0.947,41465,total,전체 인구,급격한 증가
양주시,Yangju-si,17,2008,2024,179914,289005,109091,60.64,5296.6,0.53,0.85,41630,total,전체 인구,급격한 증가
중구,Jung-gu,17,2008,2024,88713,167113,78400,88.37,4886.4,0.489,0.969,28110,total,전체 인구,증가
처인구,Cheoin-gu,17,2008,2024,203805,274162,70357,34.52,4690.1,0.469,0.95,41461,total,전체 인구,증가
오산시,Osan-si,17,2008,2024,150237,242065,91828,61.12,4653.5,0.465,0.87,41370,total,전체 인구,증가
권선구,Gwonseon-gu,17,2008,2024,308177,362642,54465,17.67,4419.6,0.442,0.8,41113,total,전체 인구,증가
원주시,Wonju-si,17,2008,2024,303975,362164,58189,19.14,3776.3,0.378,0.988,51130,total,전체 인구,증가
광산구,Gwangsan-gu,17,2008,2024,320660,391611,70951,22.13,3552.5,0.355,0.542,29200,total,전체 인구,증가
북구,Buk-gu,17,2008,2024,166469,216522,50053,30.07,3488.6,0.349,0.94,31200,total,전체 인구,증가
김해시,Gimhae-si,17,2008,2024,477572,531676,54104,11.33,3085.7,0.309,0.729,48250,total,전체 인구,증가
덕진구,Deokjin-gu,17,2008,2024,279273,313741,34468,12.34,2867.1,0.287,0.84,52113,total,전체 인구,증가
의정부시,Uijeongbu-si,17,2008,2024,430849,461271,30422,7.06,2612.9,0.261,0.861,41150,total,전체 인구,증가
서귀포시,Seogwipo-si,17,2008,2024,153120,182020,28900,18.87,2543.6,0.254,0.891,50130,total,전체 인구,증가
남동구,Namdong-gu,17,2008,2024,450054,486225,36171,8.04,2493.2,0.249,0.227,28200,total,전체 인구,증가
양평군,Yangpyeong-gun,17,2008,2024,89812,126804,36992,41.19,2291.3,0.229,0.986,41830,total,전체 인구,증가
나주시,Naju-si,17,2008,2024,92884,116654,23770,25.59,2267.9,0.227,0.842,46170,total,전체 인구,증가
일산동구,Ilsandong-gu,17,2008,2024,261358,294123,32765,12.54,2153.8,0.215,0.774,41285,total,전체 인구,증가
경산시,Gyeongsan-si,17,2008,2024,237423,266398,28975,12.2,2095.6,0.21,0.939,47290,total,전체 인구,증가
진천군,Jincheon-gun,17,2008,2024,60715,86537,25822,42.53,1954.3,0.195,0.946,43750,total,전체 인구,증가
울주군,Ulju-gun,17,2008,2024,191687,218806,27119,14.15,1741.8,0.174,0.748,31710,total,전체 인구,증가
이천시,Icheon-si,17,2008,2024,196633,222443,25810,13.13,1725.6,0.173,0.954,41500,total,전체 인구,증가
춘천시,Chuncheon-si,17,2008,2024,261975,286069,24094,9.2,1405.3,0.141,0.929,51110,total,전체 인구,증가
무안군,Muan-gun,17,2008,2024,66598,92687,26089,39.17,1361.8,0.136,0.915,46840,total,전체 인구,증가
서산시,Seosan-si,17,2008,2024,156867,174445,17578,11.21,1280.1,0.128,0.917,44210,total,전체 인구,증가
진해구,Jinhae-gu,15,2010,2024,175859,188739,12880,7.32,1144.1,0.114,0.737,48129,total,전체 인구,증가
안성시,Anseong-si,17,2008,2024,169545,193949,24404,14.39,1134.0,0.113,0.849,41550,total,전체 인구,증가
의왕시,Uiwang-si,17,2008,2024,134488,154488,20000,14.87,1128.9,0.113,0.53,41430,total,전체 인구,증가
청원구,Cheongwon-gu,11,2014,2024,174975,189126,14151,8.09,1026.0,0.103,0.263,43114,total,전체 인구,증가
당진시,Dangjin-si,13,2012,2024,155104,171931,16827,10.85,993.3,0.099,0.76,44270,total,전체 인구,완만한 증가
동남구,Dongnam-gu,17,2008,2024,235270,261172,25902,11.01,942.4,0.094,0.374,44131,total,전체 인구,완만한 증가
홍성군,Hongseong-gun,17,2008,2024,88176,99198,11022,12.5,926.0,0.093,0.714,44800,total,전체 인구,완만한 증가
