C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class,topo_code,topo_name,match_note
종로구,Jongno-gu,17.0,2008.0,2024.0,127968.0,98831.0,-29137.0,-22.77,-1887.9,-0.189,0.976,11110.0,working_age,15-64세 생산연령인구,감소,11010,종로구,global_exact_name
중구,Jung-gu,17.0,2008.0,2024.0,98396.0,86017.0,-12379.0,-12.58,-905.1,-0.091,0.902,11140.0,working_age,15-64세 생산연령인구,완만한 감소,11020,중구,province_exact_name
용산구,Yongsan-gu,17.0,2008.0,2024.0,178333.0,148556.0,-29777.0,-16.7,-1744.9,-0.174,0.844,11170.0,working_age,15-64세 생산연령인구,감소,11030,용산구,global_exact_name
성동구,Seongdong-gu,17.0,2008.0,2024.0,237591.0,198428.0,-39163.0,-16.48,-1969.7,-0.197,0.745,11200.0,working_age,15-64세 생산연령인구,감소,11040,성동구,global_exact_name
광진구,Gwangjin-gu,17.0,2008.0,2024.0,290881.0,247616.0,-43265.0,-14.87,-2877.0,-0.288,0.946,11215.0,working_age,15-64세 생산연령인구,감소,11050,광진구,global_exact_name
동대문구,Dongdaemun-gu,17.0,2008.0,2024.0,280167.0,241568.0,-38599.0,-13.78,-2619.0,-0.262,0.953,11230.0,working_age,15-64세 생산연령인구,감소,11060,동대문구,global_exact_name
중랑구,Jungnang-gu,17.0,2008.0,2024.0,327927.0,266923.0,-61004.0,-18.6,-4021.2,-0.402,0.943,11260.0,working_age,15-64세 생산연령인구,감소,11070,중랑구,global_exact_name
성북구,Seongbuk-gu,17.0,2008.0,2024.0,353972.0,299584.0,-54388.0,-15.37,-4179.9,-0.418,0.931,11290.0,working_age,15-64세 생산연령인구,감소,11080,성북구,global_exact_name
강북구,Gangbuk-gu,17.0,2008.0,2024.0,257041.0,193243.0,-63798.0,-24.82,-4243.1,-0.424,0.937,11305.0,working_age,15-64세 생산연령인구,감소,11090,강북구,global_exact_name
도봉구,Dobong-gu,17.0,2008.0,2024.0,280992.0,205864.0,-75128.0,-26.74,-4817.2,-0.482,0.951,11320.0,working_age,15-64세 생산연령인구,감소,11100,도봉구,global_exact_name
노원구,Nowon-gu,17.0,2008.0,2024.0,455275.0,345430.0,-109845.0,-24.13,-7525.0,-0.752,0.955,11350.0,working_age,15-64세 생산연령인구,급격한 감소,11110,노원구,global_exact_name
은평구,Eunpyeong-gu,17.0,2008.0,2024.0,341825.0,324807.0,-17018.0,-4.98,-1900.3,-0.19,0.406,11380.0,working_age,15-64세 생산연령인구,감소,11120,은평구,global_exact_name
서대문구,Seodaemun-gu,17.0,2008.0,2024.0,247061.0,216147.0,-30914.0,-12.51,-1627.1,-0.163,0.929,11410.0,working_age,15-64세 생산연령인구,감소,11130,서대문구,global_exact_name
마포구,Mapo-gu,17.0,2008.0,2024.0,290863.0,269886.0,-20977.0,-7.21,-1442.5,-0.144,0.865,11440.0,working_age,15-64세 생산연령인구,감소,11140,마포구,global_exact_name
양천구,Yangcheon-gu,17.0,2008.0,2024.0,379156.0,303596.0,-75560.0,-19.93,-5155.6,-0.516,0.931,11470.0,working_age,15-64세 생산연령인구,급격한 감소,11150,양천구,global_exact_name
강서구,Gangseo-gu,17.0,2008.0,2024.0,439723.0,399882.0,-39841.0,-9.06,-1696.2,-0.17,0.341,11500.0,working_age,15-64세 생산연령인구,감소,11160,강서구,province_exact_name
구로구,Guro-gu,17.0,2008.0,2024.0,320977.0,271485.0,-49492.0,-15.42,-3458.0,-0.346,0.918,11530.0,working_age,15-64세 생산연령인구,감소,11170,구로구,global_exact_name
금천구,Geumcheon-gu,17.0,2008.0,2024.0,189494.0,163211.0,-26283.0,-13.87,-1631.5,-0.163,0.967,11545.0,working_age,15-64세 생산연령인구,감소,11180,금천구,global_exact_name
영등포구,Yeongdeungpo-gu,17.0,2008.0,2024.0,309366.0,273208.0,-36158.0,-11.69,-2408.1,-0.241,0.83,11560.0,working_age,15-64세 생산연령인구,감소,11190,영등포구,global_exact_name
