C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class
화성시,Hwaseong-si,17,2008,2024,312330,709455,397125,127.15,26881.2,2.688,0.958,41590,working_age,15-64세 생산연령인구,급격한 증가
세종특별자치시,sejong-si,13,2012,2024,77400,275519,198119,255.97,18290.2,1.829,0.941,36110,working_age,15-64세 생산연령인구,급격한 증가
김포시,Gimpo-si,17,2008,2024,156337,338082,181745,116.25,13212.9,1.321,0.969,41570,working_age,15-64세 생산연령인구,급격한 증가
용인시,Yongin-si,17,2008,2024,571786,772811,201025,35.16,13002.0,1.3,0.945,41460,working_age,15-64세 생산연령인구,급격한 증가
청주시,Cheongju-si,17,2008,2024,464166,608238,144072,31.04,10717.9,1.072,0.704,43110,working_age,15-64세 생산연령인구,급격한 증가
서구,Seo-gu,17,2008,2024,287722,461831,174109,60.51,10282.8,1.028,0.952,28260,working_age,15-64세 생산연령인구,급격한 증가
평택시,Pyeongtaek-si,17,2008,2024,287144,438726,151582,52.79,10070.3,1.007,0.973,41220,working_age,15-64세 생산연령인구,급격한 증가
하남시,Hanam-si,17,2008,2024,107950,231595,123645,114.54,9829.9,0.983,0.9,41450,working_age,15-64세 생산연령인구,급격한 증가
남양주시,Namyangju-si,17,2008,2024,358802,512555,153753,42.85,9802.8,0.98,0.917,41360,working_age,15-64세 생산연령인구,급격한 증가
파주시,Paju-si,17,2008,2024,216948,360398,143450,66.12,8331.8,0.833,0.958,41480,working_age,15-64세 생산연령인구,급격한 증가
광주시,Gwangju-si,17,2008,2024,169918,280829,110911,65.27,7977.0,0.798,0.95,41610,working_age,15-64세 생산연령인구,급격한 증가
시흥시,Siheung-si,17,2008,2024,284340,385124,100784,35.44,7467.5,0.747,0.892,41390,working_age,15-64세 생산연령인구,급격한 증가
고양시,Goyang-si,17,2008,2024,676399,771191,94792,14.01,7410.7,0.741,0.785,41280,working_age,15-64세 생산연령인구,급격한 증가
천안시,Cheonan-si,17,2008,2024,385610,486444,100834,26.15,6823.8,0.682,0.904,44130,working_age,15-64세 생산연령인구,급격한 증가
수원시,Suwon-si,17,2008,2024,790991,892111,101120,12.78,6791.1,0.679,0.633,41110,working_age,15-64세 생산연령인구,급격한 증가
영통구,Yeongtong-gu,17,2008,2024,190049,277324,87275,45.92,6616.4,0.662,0.864,41117,working_age,15-64세 생산연령인구,급격한 증가
서북구,Sebuk-gu,17,2008,2024,216003,299982,83979,38.88,6264.0,0.626,0.94,44133,working_age,15-64세 생산연령인구,급격한 증가
연수구,Yeonsu-gu,17,2008,2024,200752,290894,90142,44.9,6248.8,0.625,0.972,28185,working_age,15-64세 생산연령인구,급격한 증가
기흥구,Giheung-gu,17,2008,2024,219280,311942,92662,42.26,5607.0,0.561,0.882,41463,working_age,15-64세 생산연령인구,급격한 증가
유성구,Yuseong-gu,17,2008,2024,184576,273452,88876,48.15,5352.7,0.535,0.876,30200,working_age,15-64세 생산연령인구,급격한 증가
덕양구,Deogyang-gu,17,2008,2024,279265,350647,71382,25.56,5342.6,0.534,0.951,41281,working_age,15-64세 생산연령인구,급격한 증가
양산시,Yangsan-si,17,2008,2024,173859,249057,75198,43.25,5329.2,0.533,0.879,48330,working_age,15-64세 생산연령인구,급격한 증가
