year,births,deaths,natural_increase,marriages,divorces
1990,649738.0,241616.0,408122.0,399312.0,45694.0
1991,709275.0,242270.0,467005.0,416872.0,49205.0
1992,730678.0,236162.0,494516.0,419774.0,53539.0
1993,715826.0,234257.0,481569.0,402593.0,59313.0
1994,721185.0,242439.0,478746.0,393121.0,65015.0
1995,715020.0,242838.0,472182.0,398484.0,68279.0
1996,691226.0,241149.0,450077.0,434911.0,79895.0
1997,675394.0,244693.0,430701.0,388960.0,91160.0
1998,641594.0,245825.0,395769.0,373500.0,116294.0
1999,620668.0,247734.0,372934.0,360407.0,117449.0
2000,640089.0,248740.0,391349.0,332090.0,119455.0
2001,559934.0,243813.0,316121.0,318407.0,134608.0
2002,496911.0,247524.0,249387.0,304877.0,144910.0
2003,495036.0,246463.0,248573.0,302503.0,166617.0
2004,476958.0,246220.0,230738.0,308598.0,138932.0
2005,438707.0,245874.0,192833.0,314304.0,128035.0
2006,451759.0,244162.0,207597.0,330634.0,124524.0
2007,496822.0,246482.0,250340.0,343559.0,124072.0
2008,465892.0,246113.0,219779.0,327715.0,116535.0
2009,444849.0,246942.0,197907.0,309759.0,123999.0
2010,470171.0,255405.0,214766.0,326104.0,116858.0
2011,471265.0,257396.0,213869.0,329087.0,114284.0
2012,484550.0,267221.0,217329.0,327073.0,114316.0
2013,436455.0,266257.0,170198.0,322807.0,115292.0
2014,435435.0,267692.0,167743.0,305507.0,115510.0
2015,438420.0,275895.0,162525.0,302828.0,109153.0
2016,406243.0,280827.0,125416.0,281635.0,107328.0
2017,357771.0,285534.0,72237.0,264455.0,106032.0
2018,326822.0,298820.0,28002.0,257622.0,108684.0
2019,302676.0,295110.0,7566.0,239159.0,110831.0
2020,272337.0,304948.0,-32611.0,213502.0,106500.0
2021,260562.0,317680.0,-57118.0,192507.0,101673.0
2022,249186.0,372939.0,-123753.0,191690.0,93232.0
2023,230028.0,352511.0,-122483.0,193657.0,92394.0
2024,238317.0,358569.0,-120252.0,222412.0,91151.0
