year,age_group,disposable_income_10k_krw,disposable_income_million_krw,debt_to_disposable_income_pct,repayment_to_disposable_income_pct
2017,29세 이하,2833.074573319,28.3,84.5,13.9
2018,29세 이하,3070.4752057864,30.7,84.4,11.5
2019,29세 이하,3190.9857078062,31.9,100.2,16.0
2020,29세 이하,3052.6146341894,30.5,114.0,16.9
2021,29세 이하,3237.3047557739,32.4,109.7,16.4
2022,29세 이하,3440.4607800268,34.4,145.7,16.9
2023,29세 이하,3525.3111814014,35.3,133.5,24.2
2024,29세 이하,4062.286081579,40.6,111.5,25.8
2025,29세 이하,3837.7295493466,38.4,122.6,23.5
2017,30~39세,4533.0823545963,45.3,152.7,26.1
2018,30~39세,4734.1706044328,47.3,170.8,27.6
2019,30~39세,4891.6880911452,48.9,182.2,32.3
2020,30~39세,5182.1110702158,51.8,194.6,29.9
2021,30~39세,5432.3614565151,54.3,206.0,34.4
2022,30~39세,5639.6725163778,56.4,200.5,28.4
2023,30~39세,5771.2758120365,57.7,196.1,32.7
2024,30~39세,5838.4992956416,58.4,184.5,28.9
2025,30~39세,5976.1300710917,59.8,182.4,27.5
