year,age_group,life_satisfaction_avg_0_10
2013,19~29세,5.7
2014,19~29세,5.9
2015,19~29세,5.8
2016,19~29세,6.1
2017,19~29세,6.1
2018,19~29세,6.1
2019,19~29세,6.0
2020,19~29세,6.2
2021,19~29세,6.4
2022,19~29세,6.5
2023,19~29세,6.5
2024,19~29세,6.5
2025,19~29세,6.7
2013,30~39세,5.8
2014,30~39세,5.8
2015,30~39세,5.8
2016,30~39세,5.9
2017,30~39세,6.2
2018,30~39세,6.2
2019,30~39세,6.1
2020,30~39세,6.1
2021,30~39세,6.5
2022,30~39세,6.6
2023,30~39세,6.5
2024,30~39세,6.6
2025,30~39세,6.8
2013,전체,5.7
2014,전체,5.7
2015,전체,5.8
2016,전체,5.9
2017,전체,6.0
2018,전체,6.1
2019,전체,6.0
2020,전체,6.0
2021,전체,6.3
2022,전체,6.5
2023,전체,6.4
2024,전체,6.4
2025,전체,6.6
