year,gyeonggi_20s,gyeonggi_30s,seoul_20s,seoul_30s
2000,70309,37584,26942,-25426
2001,84284,53390,8817,-39174
2002,104356,61701,4294,-35265
2003,83829,48149,14989,-31200
2004,68376,41935,13218,-28284
2005,69440,37329,16839,-30595
2006,56212,32281,24384,-28489
2007,41300,28487,26626,-33093
2008,31454,25860,23587,-31418
2009,29524,26126,22010,-30148
2010,40820,41223,11981,-48257
2011,23810,22736,15607,-44140
2012,24048,25816,21807,-42029
2013,19429,25928,20979,-42023
2014,16461,21028,26300,-38964
2015,20627,28664,17790,-48397
2016,26486,36733,22563,-47696
2017,20556,34461,31955,-36865
2018,25395,49579,39341,-42521
2019,26781,39302,47566,-28541
2020,39191,45067,44823,-28783
2021,33585,42396,35520,-41826
2022,6924,19677,53689,-27330
2023,7049,16748,46205,-23489
2024,13121,23338,36561,-26224
2025,7439,13614,35937,-18730
