year,youth_working_age_population
2000,11236.0
2001,10965.0
2002,10675.0
2003,10412.0
2004,10162.0
2005,9961.0
2006,9895.0
2007,9879.0
2008,9868.0
2009,9829.0
2010,9735.0
2011,9660.0
2012,9531.0
2013,9439.0
2014,9395.0
2015,9380.0
2016,9363.0
2017,9282.0
2018,9149.0
2019,9060.0
2020,8911.0
2021,8770.0
2022,8567.0
2023,8390.0
2024,8152.0
2025,7953.0
200001,11347.0
200002,11324.0
200003,11301.0
200004,11281.0
200005,11268.0
200006,11251.0
200007,11221.0
200008,11206.0
200009,11189.0
200010,11168.0
200011,11145.0
200012,11127.0
200101,11103.0
200102,11075.0
200103,11048.0
200104,11019.0
200105,10995.0
200106,10974.0
200107,10956.0
200108,10934.0
200109,10906.0
200110,10881.0
200111,10858.0
200112,10832.0
200201,10812.0
200202,10789.0
200203,10762.0
200204,10735.0
200205,10707.0
200206,10682.0
200207,10660.0
200208,10637.0
200209,10612.0
200210,10594.0
200211,10566.0
200212,10544.0
200301,10527.0
200302,10506.0
200303,10485.0
200304,10467.0
200305,10450.0
200306,10425.0
200307,10407.0
200308,10382.0
200309,10358.0
200310,10337.0
200311,10312.0
200312,10291.0
200401,10276.0
200402,10253.0
200403,10230.0
200404,10206.0
200405,10182.0
200406,10162.0
200407,10149.0
200408,10133.0
200409,10116.0
200410,10099.0
200411,10079.0
200412,10057.0
200501,10037.0
200502,10023.0
200503,10005.0
200504,9987.0
200505,9969.0
200506,9954.0
200507,9941.0
200508,9934.0
200509,9929.0
200510,9923.0
200511,9918.0
200512,9907.0
200601,9912.0
200602,9906.0
200603,9897.0
200604,9895.0
200605,9894.0
200606,9894.0
200607,9894.0
200608,9897.0
200609,9893.0
200610,9893.0
200611,9885.0
200612,9880.0
200701,9885.0
200702,9880.0
200703,9876.0
200704,9873.0
200705,9876.0
200706,9881.0
200707,9880.0
200708,9879.0
200709,9878.0
200710,9882.0
200711,9880.0
200712,9878.0
200801,9883.0
200802,9880.0
200803,9876.0
200804,9873.0
200805,9870.0
200806,9869.0
200807,9871.0
200808,9867.0
200809,9863.0
200810,9857.0
200811,9857.0
200812,9854.0
200901,9870.0
200902,9862.0
200903,9853.0
200904,9846.0
200905,9843.0
200906,9840.0
200907,9835.0
200908,9827.0
200909,9813.0
200910,9799.0
200911,9788.0
200912,9776.0
201001,9795.0
201002,9779.0
201003,9766.0
201004,9751.0
201005,9743.0
201006,9733.0
201007,9730.0
201008,9722.0
201009,9709.0
201010,9699.0
201011,9694.0
201012,9695.0
201101,9715.0
201102,9704.0
201103,9696.0
201104,9684.0
201105,9684.0
201106,9667.0
201107,9660.0
201108,9648.0
201109,9627.0
201110,9612.0
201111,9605.0
201112,9621.0
201201,9597.0
201202,9586.0
201203,9573.0
201204,9556.0
201205,9552.0
201206,9531.0
201207,9522.0
201208,9510.0
201209,9495.0
201210,9481.0
201211,9476.0
201212,9494.0
201301,9475.0
201302,9472.0
201303,9457.0
201304,9447.0
201305,9440.0
201306,9437.0
201307,9432.0
201308,9428.0
201309,9425.0
201310,9421.0
201311,9420.0
201312,9418.0
201401,9411.0
201402,9410.0
201403,9404.0
201404,9400.0
201405,9397.0
201406,9393.0
201407,9389.0
201408,9392.0
201409,9390.0
201410,9385.0
201411,9385.0
201412,9384.0
201501,9383.0
201502,9385.0
201503,9384.0
201504,9385.0
201505,9385.0
201506,9384.0
201507,9382.0
201508,9380.0
201509,9378.0
201510,9374.0
201511,9370.0
201512,9369.0
201601,9381.0
201602,9379.0
201603,9381.0
201604,9378.0
201605,9378.0
201606,9374.0
201607,9367.0
201608,9359.0
201609,9351.0
201610,9343.0
201611,9335.0
201612,9327.0
201701,9327.0
201702,9320.0
201703,9314.0
201704,9306.0
201705,9302.0
201706,9291.0
201707,9279.0
201708,9268.0
201709,9255.0
201710,9250.0
201711,9242.0
201712,9229.0
201801,9212.0
201802,9201.0
201803,9179.0
201804,9170.0
201805,9157.0
201806,9146.0
201807,9139.0
201808,9131.0
201809,9124.0
201810,9116.0
201811,9105.0
201812,9103.0
201901,9076.0
201902,9098.0
201903,9091.0
201904,9089.0
201905,9073.0
201906,9072.0
201907,9069.0
201908,9050.0
201909,9040.0
201910,9031.0
201911,9018.0
201912,9016.0
202001,8988.0
202002,8983.0
202003,8962.0
202004,8941.0
202005,8934.0
202006,8918.0
202007,8903.0
202008,8886.0
202009,8867.0
202010,8855.0
202011,8849.0
202012,8844.0
202101,8856.0
202102,8841.0
202103,8826.0
202104,8812.0
202105,8799.0
202106,8784.0
202107,8766.0
202108,8742.0
202109,8723.0
202110,8707.0
202111,8699.0
202112,8684.0
202201,8679.0
202202,8659.0
202203,8634.0
202204,8615.0
202205,8595.0
202206,8567.0
202207,8548.0
202208,8531.0
202209,8515.0
202210,8503.0
202211,8489.0
202212,8473.0
202301,8489.0
202302,8468.0
202303,8454.0
202304,8434.0
202305,8416.0
202306,8396.0
202307,8378.0
202308,8359.0
202309,8341.0
202310,8327.0
202311,8315.0
202312,8306.0
202401,8271.0
202402,8250.0
202403,8223.0
202404,8200.0
202405,8173.0
202406,8149.0
202407,8150.0
202408,8112.0
202409,8093.0
202410,8078.0
202411,8065.0
202412,8055.0
202501,8051.0
202502,8035.0
202503,8016.0
202504,7994.0
202505,7974.0
202506,7949.0
202507,7933.0
202508,7920.0
202509,7906.0
202510,7894.0
202511,7888.0
202512,7880.0
202601,7886.0
202602,7877.0
202603,7854.0
