year,C1,C1_NM,C2,C2_NM,population,UNIT_NM,UNIT_NM_ENG,ITM_ID,ITM_NM
2008,00,전국,000,계,49540367,명,Person,T2,총인구수
2008,00,전국,0401,0세,444421,명,Person,T2,총인구수
2008,00,전국,0402,1세,491498,명,Person,T2,총인구수
2008,00,전국,0403,2세,446884,명,Person,T2,총인구수
2008,00,전국,0404,3세,434320,명,Person,T2,총인구수
2008,00,전국,0405,4세,472935,명,Person,T2,총인구수
2008,00,전국,0501,5세,492914,명,Person,T2,총인구수
2008,00,전국,0502,6세,494660,명,Person,T2,총인구수
2008,00,전국,0503,7세,559549,명,Person,T2,총인구수
2008,00,전국,0504,8세,639584,명,Person,T2,총인구수
2008,00,전국,0505,9세,620098,명,Person,T2,총인구수
2008,00,전국,0701,10세,640447,명,Person,T2,총인구수
2008,00,전국,0702,11세,672419,명,Person,T2,총인구수
2008,00,전국,0703,12세,686232,명,Person,T2,총인구수
2008,00,전국,0704,13세,708751,명,Person,T2,총인구수
2008,00,전국,0705,14세,714275,명,Person,T2,총인구수
2008,00,전국,1001,15세,710578,명,Person,T2,총인구수
2008,00,전국,1002,16세,724687,명,Person,T2,총인구수
2008,00,전국,1003,17세,701323,명,Person,T2,총인구수
2008,00,전국,1004,18세,637985,명,Person,T2,총인구수
2008,00,전국,1005,19세,628225,명,Person,T2,총인구수
2008,00,전국,1201,20세,621920,명,Person,T2,총인구수
2008,00,전국,1202,21세,613160,명,Person,T2,총인구수
2008,00,전국,1203,22세,622919,명,Person,T2,총인구수
2008,00,전국,1204,23세,648375,명,Person,T2,총인구수
2008,00,전국,1205,24세,657761,명,Person,T2,총인구수
2008,00,전국,1301,25세,744785,명,Person,T2,총인구수
2008,00,전국,1302,26세,819048,명,Person,T2,총인구수
2008,00,전국,1303,27세,837748,명,Person,T2,총인구수
2008,00,전국,1304,28세,834516,명,Person,T2,총인구수
2008,00,전국,1305,29세,825406,명,Person,T2,총인구수
2008,00,전국,1501,30세,720003,명,Person,T2,총인구수
2008,00,전국,1502,31세,777811,명,Person,T2,총인구수
2008,00,전국,1503,32세,760917,명,Person,T2,총인구수
2008,00,전국,1504,33세,788941,명,Person,T2,총인구수
2008,00,전국,1505,34세,857095,명,Person,T2,총인구수
2008,00,전국,1601,35세,892272,명,Person,T2,총인구수
2008,00,전국,1602,36세,893279,명,Person,T2,총인구수
2008,00,전국,1603,37세,941372,명,Person,T2,총인구수
2008,00,전국,1604,38세,916295,명,Person,T2,총인구수
2008,00,전국,1605,39세,922309,명,Person,T2,총인구수
2008,00,전국,1801,40세,925098,명,Person,T2,총인구수
2008,00,전국,1802,41세,861233,명,Person,T2,총인구수
2008,00,전국,1803,42세,816049,명,Person,T2,총인구수
2008,00,전국,1804,43세,851830,명,Person,T2,총인구수
2008,00,전국,1805,44세,834392,명,Person,T2,총인구수
2008,00,전국,1901,45세,793488,명,Person,T2,총인구수
2008,00,전국,1902,46세,883215,명,Person,T2,총인구수
2008,00,전국,1903,47세,919268,명,Person,T2,총인구수
2008,00,전국,1904,48세,928361,명,Person,T2,총인구수
2008,00,전국,1905,49세,858914,명,Person,T2,총인구수
2008,00,전국,2101,50세,785248,명,Person,T2,총인구수
2008,00,전국,2102,51세,779847,명,Person,T2,총인구수
2008,00,전국,2103,52세,705243,명,Person,T2,총인구수
2008,00,전국,2104,53세,731191,명,Person,T2,총인구수
2008,00,전국,2105,54세,623661,명,Person,T2,총인구수
2008,00,전국,2301,55세,539506,명,Person,T2,총인구수
2008,00,전국,2302,56세,597682,명,Person,T2,총인구수
2008,00,전국,2303,57세,437328,명,Person,T2,총인구수
2008,00,전국,2304,58세,466994,명,Person,T2,총인구수
2008,00,전국,2305,59세,473873,명,Person,T2,총인구수
2008,00,전국,2601,60세,471364,명,Person,T2,총인구수
2008,00,전국,2602,61세,477211,명,Person,T2,총인구수
2008,00,전국,2603,62세,381606,명,Person,T2,총인구수
2008,00,전국,2604,63세,342476,명,Person,T2,총인구수
2008,00,전국,2605,64세,368299,명,Person,T2,총인구수
2008,00,전국,2801,65세,373576,명,Person,T2,총인구수
2008,00,전국,2802,66세,464846,명,Person,T2,총인구수
2008,00,전국,2803,67세,384883,명,Person,T2,총인구수
2008,00,전국,2804,68세,343340,명,Person,T2,총인구수
2008,00,전국,2805,69세,357195,명,Person,T2,총인구수
2008,00,전국,3101,70세,324383,명,Person,T2,총인구수
2008,00,전국,3102,71세,303494,명,Person,T2,총인구수
