C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID
행정구역별,6032022.0,00,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Whole country,전국,개,101
행정구역별,6079702.0,00,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Whole country,전국,개,101
행정구역별,6139899.0,00,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Whole country,전국,개,101
행정구역별,6246489.0,00,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Whole country,전국,개,101
행정구역별,6363262.0,00,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Whole country,전국,개,101
행정구역별,51829023.0,00,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Whole country,전국,명,101
행정구역별,51638809.0,00,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Whole country,전국,명,101
행정구역별,51439038.0,00,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Whole country,전국,명,101
행정구역별,51325329.0,00,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Whole country,전국,명,101
행정구역별,51217221.0,00,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Whole country,전국,명,101
행정구역별,116.4,00,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Whole country,전국,개,101
행정구역별,117.7,00,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Whole country,전국,개,101
행정구역별,119.4,00,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Whole country,전국,개,101
행정구역별,121.7,00,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Whole country,전국,개,101
행정구역별,124.2,00,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Whole country,전국,개,101
행정구역별,1211053.0,11,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Seoul,서울특별시,개,101
행정구역별,1188091.0,11,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Seoul,서울특별시,개,101
행정구역별,1180025.0,11,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Seoul,서울특별시,개,101
행정구역별,1177287.0,11,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Seoul,서울특별시,개,101
