C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,ORG_ID,C1_OBJ_NM_ENG
시도별,34169,00,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2015,2024-09-02,Whole country,전국,천원,Regional GDP per Capita,101,By province
시도별,35825,00,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2016,2024-09-02,Whole country,전국,천원,Regional GDP per Capita,101,By province
시도별,37690,00,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2017,2024-09-02,Whole country,전국,천원,Regional GDP per Capita,101,By province
시도별,38922,00,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2018,2024-09-02,Whole country,전국,천원,Regional GDP per Capita,101,By province
시도별,39467,00,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2019,2024-09-02,Whole country,전국,천원,Regional GDP per Capita,101,By province
시도별,39789,00,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2020,2024-09-02,Whole country,전국,천원,Regional GDP per Capita,101,By province
시도별,42963,00,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2021,2024-09-02,Whole country,전국,천원,Regional GDP per Capita,101,By province
시도별,45045,00,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2022,2024-09-02,Whole country,전국,천원,Regional GDP per Capita,101,By province
시도별,46640,00,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2023,2025-12-17,Whole country,전국,천원,Regional GDP per Capita,101,By province
시도별,49483,00,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2024,2025-12-17,Whole country,전국,천원,Regional GDP per Capita,101,By province
시도별,38911,11,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2015,2024-09-02,Seoul,서울특별시,천원,Regional GDP per Capita,101,By province
시도별,41359,11,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2016,2024-09-02,Seoul,서울특별시,천원,Regional GDP per Capita,101,By province
시도별,43731,11,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2017,2024-09-02,Seoul,서울특별시,천원,Regional GDP per Capita,101,By province
시도별,46547,11,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2018,2024-09-02,Seoul,서울특별시,천원,Regional GDP per Capita,101,By province
시도별,48248,11,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2019,2024-09-02,Seoul,서울특별시,천원,Regional GDP per Capita,101,By province
시도별,49165,11,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2020,2024-09-02,Seoul,서울특별시,천원,Regional GDP per Capita,101,By province
시도별,53373,11,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2021,2024-09-02,Seoul,서울특별시,천원,Regional GDP per Capita,101,By province
시도별,56094,11,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2022,2024-09-02,Seoul,서울특별시,천원,Regional GDP per Capita,101,By province
시도별,58829,11,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2023,2025-12-17,Seoul,서울특별시,천원,Regional GDP per Capita,101,By province
시도별,61215,11,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2024,2025-12-17,Seoul,서울특별시,천원,Regional GDP per Capita,101,By province
시도별,25707,21,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2015,2024-09-02,Busan,부산광역시,천원,Regional GDP per Capita,101,By province
시도별,26800,21,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2016,2024-09-02,Busan,부산광역시,천원,Regional GDP per Capita,101,By province
시도별,27210,21,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2017,2024-09-02,Busan,부산광역시,천원,Regional GDP per Capita,101,By province
시도별,28355,21,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2018,2024-09-02,Busan,부산광역시,천원,Regional GDP per Capita,101,By province
