C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_OBJ_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
행정구역별,특허,195786,15138AG1AA,15138AG600,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Total,계,건,Applications by region,By Patent Right,Patent,101,By Administrative divisions,권리별
행정구역별,실용신안,2021,15138AG1AB,15138AG600,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Total,계,건,Applications by region,By Patent Right,Utility Model,101,By Administrative divisions,권리별
행정구역별,출원서기준,50363,15138AG1ADAA,15138AG600,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Total,계,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,복수디자인기준,51762,15138AG1ADAB,15138AG600,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Total,계,건,Applications by region,By Patent Right,By multiple design,101,By Administrative divisions,권리별
행정구역별,출원서기준,227274,15138AG1AEAA,15138AG600,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Total,계,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,다류상표기준,265473,15138AG1AEAB,15138AG600,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Total,계,건,Applications by region,By Patent Right,By Brand,101,By Administrative divisions,권리별
행정구역별,특허,56400,15138AG1AA,15138AG6AA,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Seoul,서울,건,Applications by region,By Patent Right,Patent,101,By Administrative divisions,권리별
행정구역별,실용신안,421,15138AG1AB,15138AG6AA,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Seoul,서울,건,Applications by region,By Patent Right,Utility Model,101,By Administrative divisions,권리별
행정구역별,출원서기준,16177,15138AG1ADAA,15138AG6AA,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Seoul,서울,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,복수디자인기준,16570,15138AG1ADAB,15138AG6AA,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Seoul,서울,건,Applications by region,By Patent Right,By multiple design,101,By Administrative divisions,권리별
행정구역별,출원서기준,93415,15138AG1AEAA,15138AG6AA,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Seoul,서울,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,다류상표기준,109910,15138AG1AEAB,15138AG6AA,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Seoul,서울,건,Applications by region,By Patent Right,By Brand,101,By Administrative divisions,권리별
행정구역별,특허,6337,15138AG1AA,15138AG6AB,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Busan,부산,건,Applications by region,By Patent Right,Patent,101,By Administrative divisions,권리별
행정구역별,실용신안,98,15138AG1AB,15138AG6AB,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Busan,부산,건,Applications by region,By Patent Right,Utility Model,101,By Administrative divisions,권리별
행정구역별,출원서기준,2695,15138AG1ADAA,15138AG6AB,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Busan,부산,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,복수디자인기준,2856,15138AG1ADAB,15138AG6AB,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Busan,부산,건,Applications by region,By Patent Right,By multiple design,101,By Administrative divisions,권리별
