C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_OBJ_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
시도별,15 - 29세,41.2,75,00,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2015,2017-12-05,Total,계,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,41.7,75,00,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2016,2017-11-16,Total,계,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,42.1,75,00,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2017,2018-01-10,Total,계,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,42.7,75,00,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2018,2018-12-28,Total,계,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,43.5,75,00,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2019,2020-01-03,Total,계,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,42.2,75,00,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2020,2020-12-30,Total,계,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,44.2,75,00,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2021,2021-12-30,Total,계,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,46.6,75,00,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2022,2022-12-29,Total,계,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,46.5,75,00,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2023,2023-12-28,Total,계,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,46.1,75,00,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2024,2025-01-02,Total,계,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,43.8,75,11,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2015,2017-12-05,Seoul,서울특별시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,44.6,75,11,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2016,2017-11-16,Seoul,서울특별시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,45.3,75,11,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2017,2018-01-10,Seoul,서울특별시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,46.1,75,11,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2018,2018-12-28,Seoul,서울특별시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,47.5,75,11,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2019,2020-01-03,Seoul,서울특별시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,46.6,75,11,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2020,2020-12-30,Seoul,서울특별시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,50.5,75,11,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2021,2021-12-30,Seoul,서울특별시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,51.5,75,11,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2022,2022-12-29,Seoul,서울특별시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,51.8,75,11,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2023,2023-12-28,Seoul,서울특별시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,51.2,75,11,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2024,2025-01-02,Seoul,서울특별시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,38.8,75,21,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2015,2017-12-05,Busan,부산광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
