C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
행정구역별,청년인구비율(19~39세),29.8,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),29.6,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),29.3,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),29.2,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),28.9,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),28.4,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),27.7,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),27.2,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),26.8,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),26.5,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),15216963.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),15156183.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),15085400.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),15070861.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),14969359.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),14716881.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),14343752.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),14039981.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),13875399.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),13705129.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51069375.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51269554.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51422507.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51629512.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51779203.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51829136.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51738071.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51692272.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51774521.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51805547.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),22.1,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.8,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.4,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.2,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.2,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.1,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),20.7,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),20.5,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),20.4,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),20.1,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,%,101,청년인구비율 지표
