C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
행정구역별,청년인구비율(19~39세),26.5,11,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),13705129.0,12,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51805547.0,13,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),20.1,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),10403543.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51805547.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),12.4,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),6434686.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51805547.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),31.0,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),2892335.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9335444.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),24.0,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),2244703.0,22,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9335444.0,23,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),16.1,31,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),1499866.0,32,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9335444.0,33,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),34.3,11,11010,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,종로구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),49630.0,12,11010,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,종로구,명,101,청년인구비율 지표
행정구역별,전체인구,144486.0,13,11010,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,종로구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),28.3,21,11010,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,종로구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),40826.0,22,11010,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,종로구,명,101,청년인구비율 지표
행정구역별,전체인구,144486.0,23,11010,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,종로구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),18.2,31,11010,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,종로구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),26285.0,32,11010,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,종로구,명,101,청년인구비율 지표
행정구역별,전체인구,144486.0,33,11010,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,종로구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),35.5,11,11020,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),45004.0,12,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,전체인구,126899.0,13,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),27.4,21,11020,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),34815.0,22,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,전체인구,126899.0,23,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),18.7,31,11020,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),23753.0,32,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,전체인구,126899.0,33,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),33.3,11,11030,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,용산구,%,101,청년인구비율 지표
